Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Reliability worth assessment in electric power delivery systems,A. A. Chowdhury; T. C. Mielnik; L. E. Lawion; M. J. Sullivan; A. Katz,"Dept. of Electr. Syst. Planning, MidAmerican Energy Co., Davenport, IA, USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,654,660 Vol.1,"A very popular method utilized in quantifying the benefit of power delivery service reliability is to estimate the customer monetary losses associated with power supply interruptions by collecting data with customer surveys. MidAmerican Energy Company, a Midwest utility, recently performed surveys of its customers in the residential, commercial, industrial and company/organization sectors. This paper presents the overall results of these surveys with primary focus on the cost results. The results of this study are compared with the results of other studies performed in high cost areas of the United States east and west coasts. This is the first ever study of this nature performed for the electrical customers in the United States Midwest region. Methodological differences in study design compared to coastal surveys are discussed. The major contribution of this paper is that particulars of Midwest customers compared to customers of coastal utilities are noted, the impact on customers with backup supply is identified, a suggested approach to enhancing customer satisfaction due to advance warning on outages is recommended, and relatively high survey response return rates are elaborated. The customer damage functions derived from the survey results are being routinely used in power delivery project justifications in annual delivery system budgeting process.",,POD:0-7803-8465-2,10.1109/PES.2004.1372892,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372892,,Costs;Customer satisfaction;Electricity supply industry;Electricity supply industry deregulation;Electronic equipment;Maintenance;Power supplies;Power system reliability;Sea measurements;Sociology,customer satisfaction;electricity supply industry;emergency power supply;power system economics;power system faults;power system reliability,annual delivery system budgeting process;backup supply;customer satisfaction;electric power delivery systems;electrical customers;power delivery project justifications;power delivery service reliability;power supply interruptions;reliability worth assessment,,14,17,,,,6-10 June 2004,,IEEE,IEEE Conferences
Xcel Energy's corporate compliance council,T. Searle,"Xcel Energy Inc., Minneapolis, MN, USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,653 Vol.1,,"Summary form only given. Xcel Energy Inc. has established a Corporate Compliance Council as a means of maintaining a high level of compliance on an ongoing basis. The council has overall responsibility for all forms of business ethics, including corporate and FERC code of conduct compliance as well as Sarbanes-Oxley and other business ethics requirements. This paper discusses the process used to establish the council, the composition and specific duties of the council and how it fits into Xcel Energy's overall corporate compliance program.",,POD:0-7803-8465-2,10.1109/PES.2004.1372891,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372891,,Audit Committee;Board of Directors;Certification;Companies;Councils;Ethics;Finance;Resource management,electricity supply industry;ethical aspects;government policies;organisational aspects,Corporate Compliance Council;FERC code;Xcel Energy;business ethics,,0,,,,,6-10 June 2004,,IEEE,IEEE Conferences
Between security analysis and power system restoration,B. F. Wollenberg,"Dept. of Electr. & Comput. Eng., Minnesota Univ., USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,6 Vol.1,,"What happens between the time a system operator runs security analysis and the system needs to be restored. Obviously this is the time of chaos when security measures have not been sufficient, or some overwhelming event occurs and the power system blacks out. This is the period of time, which most operations systems today are not prepared for. The power system is coming down around the operator and there is little he or she can do about it, in fact the operator is usually at a complete loss to know what is happening because events take place so fast. Power systems operations computers have been designed to act as little more than fast digital recorders of alarms off the SCADA system so that events can be analyzed after the fact - but little has been done to provide operators with fast graphical summaries that quickly digest the situation and allow decisions to be made during the collapse. Many years ago the idea of an intelligent alarm processor (IAP) was developed and marketed but little has been done since and the maintenance of the IAP's knowledge base was always considered one of its drawbacks. New ideas on the use of smart alarm processors coupled with fast graphical presentations must be developed so operators can retain control when the system is experiencing problems.",,POD:0-7803-8465-2,10.1109/PES.2004.1372738,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372738,,Chaos;Computer security;Power engineering and energy;Power engineering computing;Power measurement;Power system analysis computing;Power system measurements;Power system restoration;Power system security;Time measurement,SCADA systems;power engineering computing;power system control;power system restoration;power system security,SCADA system;digital recorder;intelligent alarm processor;power system restoration;power systems operation;security analysis;smart alarm processor,,2,,,,,6-10 June 2004,,IEEE,IEEE Conferences
Transmission reliability and security under open access,M. Ilic,"Dept. of Electr. & Comput. Eng. & Eng. Public Policy, Carnegie Mellon Univ., Pittsburgh, PA, USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,403,405 Vol.1,"In this paper the author suggests that many of the challenges presented are direct result of the institutional dichotomy within the once vertically integrated industry. Namely, while the generation portion of this industry has made major progress toward becoming for profit, value-based industry, both the delivery (transmission) and the end user (distribution) remainders are left without any clear institutional support to adjust and provide their value to the end users in the changing industry. Moreover, since the efficient and reliable operation of the electric power grid is very complex, the engineers have relied heavily over the past 20-30 years on on-line system monitoring (including state estimation), and computer methods for decision-making and system automation. These tools are difficult to develop and use for supporting efficient generation, delivery and consumption without bringing the system closer to the limits of what is possible. The lack of real economic incentives to push the system operations to its limits for efficiency reasons combined with the complexities and risks of operating close to the system stability margins has resulted in the predictable situation the industry is currently facing. Also, the she suggested that in order to move forward and provide some more natural ways of valuing generation, transmission, distribution and customers' willingness to respond to the changing system constraints, several issues must be solved. In this presentation we introduce some possible institutional and technological approaches to solving the system reliability problems in the changing industry.",,POD:0-7803-8465-2,10.1109/PES.2004.1372819,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372819,,Computerized monitoring;Decision making;Grid computing;Power engineering and energy;Power engineering computing;Power system reliability;Power systems;Reliability engineering;Security;State estimation,electricity supply industry;power system interconnection;power system security;power transmission economics;power transmission protection;power transmission reliability,decision-making;economic incentive;electric power grid;institutional dichotomy;online system monitoring;system reliability;system stability margin;transmission reliability;transmission security;value-based industry,,0,,,,,6-10 June 2004,,IEEE,IEEE Conferences
"Design, development and commissioning of a supervisory control and data acquisition (SCADA) laboratory for research & training",M. Thomas; P. Kumar; V. Chandna,"Jamia Millia Islamia, New Delhi, India","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,1186 Vol.1,,"Summary form only given. This paper reports a state-of-the-art SCADA laboratory facility for power systems at Jamia Millia Islamia, New Delhi. It has been designed to function as a research and training center for utilities, faculty members and students. The paper covers the design, commissioning and functioning of the SCADA/EMS laboratory facility, based on distributed-processing technology. The SCADA laboratory provides hands on experience to students and practicing engineers and gives them an insight into the contemporary SCADA systems. This lab is the first of its kind to be functional in India.",,POD:0-7803-8465-2,10.1109/PES.2004.1373039,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1373039,,Educational institutions;Laboratories;Medical services;Paper technology;Power engineering and energy;Power systems;SCADA systems,SCADA systems;energy management systems;engineering facilities;laboratories;power engineering education;training,EMS laboratory facility;distributed-processing technology;state-of-the-art SCADA laboratory facility;supervisory control and data acquisition;training center,,3,,,,,6-10 June 2004,,IEEE,IEEE Conferences
Energy supply for remote base transceiver stations of telecommunication,G. Rami; T. Tran-Quoc; N. Hadjsaid; J. L. Mertz,"IDEA, Saint Martin d'Heres, France","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,1916,1921 Vol.2,"This paper presents software with graphical user interfaces, developed to make economic studies and a reliability analyse about power supply for remote base transceiver station. These works deal with remote supply like solar panels, wind turbines, fuel cells, microturbines and diesel motors. The main thematic is to compare two solutions witch are supply these telecommunication stations with the electric network and so bring a LV (low voltage) line to this one, or, use remote power supply structures. Different structures with one or several generators can be tested and solutions will be different according to the establishment site and to the ratio cost/reliability desired",,POD:0-7803-8465-2,10.1109/PES.2004.1373212,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1373212,,Fuel cells;Fuel economy;Graphical user interfaces;Low voltage;Micromotors;Power generation economics;Power supplies;Telecommunication network reliability;Transceivers;Wind turbines,fuel cells;graphical user interfaces;power supply circuits;reliability;solar cells;telecommunication power supplies;transceivers;wind turbines,LV line;base transceiver stations;diesel motors;economic study;electric network;energy supply;fuel cells;generators;graphical user interfaces;low voltage;microturbines;power supply;reliability;solar panels;telecommunication;wind turbines,,6,7,,,,10-10 June 2004,,IEEE,IEEE Conferences
Real-time detection of the risk of blackout,S. C. Savulescu,"Energy Concepts Int. Corp., New York, NY, USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,881,882 Vol.1,"This presentation describes an approach to the real-time detection of system conditions that may hide an approaching blackout. Two key issues are addressed: computational speed, required for on-line decision-making, and ease of interpretation of the results, i.e., the ability to see how far is the blackout without having to interpret large amounts of information and to perform complex data analysis chores. Theoretical aspects are analyzed, and a two-step stability limit evaluation paradigm is formulated. Practical aspects are also reviewed and illustrated with actual case studies taken directly from SCADA/EMS installations where the method is currently being used both in real-time and in study-mode. This technique can help system operators and reliability coordinators ""foresee whether the transmission loading progresses, or is projected to progress, beyond the operating reliability limit"". It is concluded that real-time stability assessment could easily be implemented in most of the existing SCADA/EMS installations if the two-step approach described in this presentation were implemented. First, a quick check of the stability reserve should be performed after each state estimated, power-flow solution and N-1 contingency evaluation. Then, if needed, detailed and extensive stability computations might be triggered to refine the initial results.",,POD:0-7803-8465-2,10.1109/PES.2004.1372946,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372946,,Computational modeling;Control systems;Data analysis;Decision making;Europe;Medical services;Real time systems;Stability analysis;Steady-state;Voltage,SCADA systems;decision making;energy management systems;load flow;power engineering computing;power system faults;power system reliability;power system stability,EMS;SCADA;blackout risk;online decision-making;operating reliability limit;power-flow solution;real-time stability assessment;system real-time detection;two-step stability limit evaluation paradigm,,0,6,,,,6-10 June 2004,,IEEE,IEEE Conferences
New infrastructural needs for improving efficiency of future distribution systems,S. S. Venkata,"Clarkson Univ., Potsdam, NY, USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,2278 Vol.2,,"Summary form only given. The deregulation of electric utility systems all around the world has created the need to plan and operate distribution companies efficiently and effectively. Fortunately the infusion of new technologies have provided avenues to achieve desirable levels of performance. The technologies that are being actively explores include distributed energy resources, high power electronic devices, communication and information systems, microsensors and latest control and protection schemes. Distribution companies are aggressively exploring all available options to arrive at both short- and long-term solutions to achieve proper balance between economy and efficiency. This presentation will address approaches pursued by specific distribution utilities in the U.S. and in India on a comparative basis. The drivers in each utility case depend on the location, size, density, capacity, cost and other relevant parameters.",,POD:0-7803-8465-2,10.1109/PES.2004.1373287,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1373287,,Communication system control;Control systems;Costs;Energy resources;Information systems;Microsensors;Power electronics;Power industry;Power system protection,electricity supply industry deregulation;energy resources;information systems;microsensors;power distribution control;power distribution protection;power electronics,India;US;communication system;control scheme;distributed energy resource;distribution companies;electric utility system deregulation;information system;long-term solution;microsensor;power electronic device;protection scheme;short-term solution,,0,,,,,6-10 June 2004,,IEEE,IEEE Conferences
Electric power networks efficiency and security: an NSF/ONR initiative,J. A. Momoh,"Div. of Electr. & Commun. Syst., Nat. Sci. Found., Arlington, VA, USA","IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,970 Vol.1,,"Summary form only given. Designing an efficient and secure power system is a concern of both civilian and military systems for survivability and reconfigurability during any external and internal attacks or disturbances which might cause service disruption. The next generation of high performance systems will be designed and upgraded with the interdisciplinary knowledge for achieving these abilities for optimum operations. The research portfolio of NSF power program and some other initiative by NSF and ONR was discussed at the panel. Some of the lessons learn in building collaboration between Government agencies, Industry and universities in the developing interdisciplinary power program was discussed as it helps to develop leadership in power research for the 21st century.",,POD:0-7803-8465-2,10.1109/PES.2004.1372978,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372978,,Collaboration;Communication system security;Educational institutions;Environmental economics;National security;Power engineering and energy;Power generation economics;Power system economics;Power system modeling;Power system security,power markets;power system security;risk management,Office of Naval Research;electric power network efficiency;electric power network security;power market;risk management,,0,,,,,6-10 June 2004,,IEEE,IEEE Conferences
Ethics and law in the electric utility industry,R. Meyer,,"IEEE Power Engineering Society General Meeting, 2004.",20050110,2004,,,649 Vol.1,,"Summary form only given. From the standpoint of a practicing energy lawyer. This paper discusses distinctions between ethics and the law, whether law can effectively compel ethical behavior, and whether we can expect increased ethical behavior in the electricity industry.",,POD:0-7803-8465-2,10.1109/PES.2004.1372888,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1372888,,Ethics;Finance;Law;Legal factors;Natural gas;Pipelines;Transactions Committee,electricity supply industry;ethical aspects,electric utility industry;energy lawyer;ethical behavior,,0,,,,,6-10 June 2004,,IEEE,IEEE Conferences
