Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"A multi-layer, hierarchical information management system for the smart grid",N. Lu; P. Du; P. Paulson; F. Greitzer; X. Guo; M. Hadley,"Pacific Northwest National Laboratory, P.O. Box 999, MSIN: K1-85, Richland, WA 99352, USA",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,8,"This paper presents the modeling approach, methodologies, and initial results of setting up a multi-layer, hierarchical information management system (IMS) for the smart grid. The IMS allows its users to analyze the data collected by multiple control and communication networks to characterize the states of the smart grid. Abnormal, corrupted, or erroneous measurement data and outliers are detected and analyzed to identify whether they are caused by random equipment failures, human error, or tampering. Data collected from different information networks are crosschecked for data integrity based on redundancy, dependency, correlation, or cross-correlations, which reveal the interdependency between data sets. A hierarchically structured reasoning mechanism is used to rank possible causes of an event to enable system operators to proactively respond or provide mitigation recommendations to remove or neutralize the threats. The model satisfactorily identifies the cause of an event and significantly reduces the need to process myriads of data.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039214,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039214,cyber security;data integrity;interoperability;predictive defense;reliability;smart grid,Cognition;Communication networks;Data models;Pattern recognition;Reliability;Smart grids,information management;power system management;power system reliability;power system simulation;smart power grids,communication networks;data integrity;hierarchical information management system;hierarchically structured reasoning mechanism;multiple control;smart grid,,4,15,,,,24-29 July 2011,,IEEE,IEEE Conferences
Wireless AMI application and security for controlled home area networks,V. Aravinthan; V. Namboodiri; S. Sunku; W. Jewell,"Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, 29634 USA",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,8,"Compared to the conventional grid, the smart grid requires active participation of consumers to improve the quality and reliability of power delivery. Advanced metering infrastructure (AMI), commonly known as the smart meter, which has the capability of supporting various functions beyond that of recording energy usage, will facilitate this expected increase in consumer participation. Another primary benefit of AMI is load and cost management for the utility. AMI requires a reliable communication system between the smart meter and consumer equipment. This paper identifies wireless networking solutions such as ZigBee as the best mode for such communication. Due to the shared nature of the wireless medium, however, these deployments face security challenges and interference issues. These must be addressed, taking into account the interests of both the utility and the consumer. This paper takes a comprehensive look at wireless security in the AMI based home-area network by identifying a wide range of possible vulnerabilities. Countermeasures that can be used by both the utility company as well as the customer are developed.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6038996,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6038996,AMI;ZigBee;home area networks;security wireless networks;smart meters,Authentication;Communication system security;Home appliances;Wireless communication;Wireless sensor networks;Zigbee,Zigbee;automatic meter reading;controller area networks;home automation;load management;power meters;power supply quality;power system protection;power system reliability;smart power grids,AMI;ZigBee;advanced metering infrastructure;consumer equipment;controlled home area networks;cost management;load management;power delivery quality;power delivery reliability;smart grid;smart meter;wireless networking;wireless security,,22,29,,,,24-29 July 2011,,IEEE,IEEE Conferences
Smart grid communication requirements for the high voltage power system,P. Kansal; A. Bose,"School of Electrical Engineering and Computer Science, Washington State University, Pullman, 99164 USA",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,6,"The vision of a smarter grid very much depends on a fast communication infrastructure that can provide near realtime data delivery and can handle security issues. These issues become more and more critical when we imagine having phasor measurement units everywhere in the power grid. The latency and bandwidth requirements for smart grid are two very critical issues among these. This paper attempts to provide a simulation approach to understand these issues. A possible communication structure is then presented with the results on the latency and bandwidth for IEEE 14 bus, 30 bus, and 57 bus systems.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6038941,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6038941,Bandwidth;C37.118;Communication Protocols;Latency;NS2;PMU;Smart Grid,Bandwidth;Delay;Phasor measurement units;Protocols;Real time systems;Smart grids;Substations,high-voltage engineering;phase measurement;power system measurement;protocols;smart power grids,IEEE 14 bus systems;IEEE 30 bus systems;IEEE 57 bus systems;communication protocols;high voltage power system;phasor measurement units;power grid;realtime data delivery;smart grid communication requirements,,13,26,,,,24-29 July 2011,,IEEE,IEEE Conferences
Innovative strategies for protection security assessment,C. Romeis; J. Fuchs; J. Jaeger; R. Krebs,"University of Erlangen-Nuremberg, Chair of Electrical Power Systems, Cauerstr. 4, 91058 Erlangen, Germany",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,6,"Protection security assessment of power grids is getting an important task in the course of a decarbonized power generation and a competitive energy business. The analysis of past blackouts studied by the North American Electric Reliability Council (NERC) shows that protection relays are involved in about 75% of all major disturbances. Protection security assessment can be investigated under two different aspects: on the one hand the behavior regarding selectivity, speed and sensitivity and on the other hand the behavior regarding the response on dynamic network phenomena as voltage stability and transient stability. This paper is focused on the protection response on dynamic network phenomena and presents innovative strategies for this investigation aspect. Applicable protection models and the simulation environment based on PSS<sup>��</sup>NETOMAC will be described. Case studies on real networks show the way of investigation and the achieved improvement of dynamic protection security based on the applied innovative strategies.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039177,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039177,Protection security assessment;blinder characteristic;dynamic protection simulation;generic protection models;major disturbances;power swing;zone settings,Generators;Impedance;Power grids;Power system dynamics;Power system stability;Security;Trajectory,power grids;power system protection;power system reliability;power system security;relay protection,North American Electric Reliability Council;PSS NETOMAC;decarbonized power generation;dynamic network phenomena;power grids;protection relays;protection security assessment,,3,6,,,,24-29 July 2011,,IEEE,IEEE Conferences
"Toward more secure, stronger and smarter electric power grids",S. M. Amin,"Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN 55455 USA",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,4,"Grid communications and control systems are often thought to be much more securely protected than is actually the case. An effective remedial program begins with a thorough and clear-eyed assessment of all vulnerabilities; especially to malware and intrusions. Both the importance and difficulty of protecting power systems have long been recognized. The critical assets that must be accounted for include thousands of transformers, line reactors, series capacitors, and transmission lines. Physical protection of these widely diverse and dispersed assets is impractical and command control layers yield new benefits only if designed correctly and securely, posing additional challenges. Our strategic focus is to better understand the true dynamics of complex interdependent energy/communications/economic networks in order to enable stronger, greener, more secure and smarter power grids. The objective of this project is to model, design and develop a reconfigurable smart end-to-end system supported by secure sensing/wireless communication network and fault-resilient real-time controls.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039759,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039759,Cyber Security;Power Systems;Smart Grids,Educational institutions;Electricity;Power system reliability;Reliability;Security;Smart grids,power system protection;power system security;smart power grids,clear-eyed assessment;command control layers;complex interdependent energy-communication-economic networks;control systems;dispersed assets;diverse assets;electric power grid security;fault-resilient real-time controls;grid communications;intrusions;line reactors;malware;power system protection;remedial program;secure sensing-wireless communication network;series capacitors;smart electric power grids;smart end-to-end system;transformers;transmission lines,,7,6,,,,24-29 July 2011,,IEEE,IEEE Conferences
Protecting the smart grid: A risk based approach,S. L. Clements; H. Kirkham; M. Elizondo; S. Lu,"Pacific Northwest National Laboratory, Richland, WA 99352 USA",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,7,"This paper describes a risk-based approach to security that has been used for years in protecting physical assets, and shows how it could be modified to help secure the digital aspects of the smart grid and control systems in general. One way the smart grid has been said to be vulnerable is that mass load fluctuations could be created by quickly turning off and on large quantities of smart meters. We investigate the plausibility.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039120,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039120,AMI;control systems;load shed modeling;risk assessment;smart grid;smart meters,Generators;Load modeling;Malware;Smart grids;Software;Voltage control,load regulation;power system control;power system protection;smart power grids,control system;digital aspect security;mass load fluctuation;physical asset protection;risk-based approach;smart grid protection;smart meter,,3,8,,,,24-29 July 2011,,IEEE,IEEE Conferences
An evaluation of cybersecurity assessment tools on a SCADA environment,A. Hahn; M. Govindarasu,"Department of Electrical and Computer Engineering, Iowa State University, Ames, IA 50011",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,6,"Increased concerns for electric grid cybersecurity has lead to the development of compliance requirements that must be evaluated by utilities. The North American Electric Reliability Council (NERC) has created Critical Infrastructure Protection (CIP) requirements for all cyber assets supporting the bulk power system[17]. This research explores whether the methodologies and tools commonly used for traditional information technology (IT) systems are sufficient to meet the cybersecurity assessment needs in power systems. This paper reviews these assessment tools to determine their ability to assist in the evaluation of the CIP requirements. In addition to the evaluation the tool capabilities, they are also reviewed for their potential to negatively impact the network availability properties. Evaluation was performed on the PowerCyber testbed at Iowa State University which implements real-world environment as in employs industry standard hardware, software and field devices. The results of this analysis is provided along with a review known gaps where current IT cybersecurity tools do not appropriately support SCADA environments.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039845,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039845,,Availability;Computer security;Protocols;SCADA systems;Servers;Software,SCADA systems;power engineering computing;power grids;power system reliability;power system security,CIP requirements;Iowa State University;NERC;North American Electric Reliability Council;PowerCyber testbed;SCADA environment;bulk power system;compliance requirements;critical infrastructure protection;cybersecurity assessment tools;electric grid cybersecurity;industry standard hardware;information technology;real-world environment,,2,20,,,,24-29 July 2011,,IEEE,IEEE Conferences
Moving beyond defense-in-depth to strategic resilience for critical control systems,H. Khurana,Honeywell Automation and Control Solutions Laboratory,2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,3,"Critical control systems such as the North American Power Grid are undergoing significant modernization involving increased use of computer and communication systems. While these advances promise better capabilities, for example, an electric grid with increased reliability and efficiency, they also increase the risk to the control systems from cyber attacks. A significant effort is underway by government, industry, national labs and academia to develop and deploy security technologies that assess and mitigate this increased risk. This effort includes select programs funded by the US Departments of Energy<sup>1</sup> and Homeland Security<sup>2</sup>, the US Reinvestment and Recovery Act, the National Institute of Standards and Technologies led Smart Grid Interoperability Panel<sup>3</sup>, and standard development bodies to name a few. The focus of this effort includes electric grid systems ranging from smart meters and SCADA (Supervisory Control and Data Acquisition) systems to synchrophasor based Wide Area Measurement Systems<sup>4</sup>, oil and gas SCADA systems, and industrial control systems. A timely challenge in this environment, therefore, is to explore the right cyber security constructs and principles that can guide the effort and ultimately result in secure critical infrastructure for the nation. It is our contention that commonly employed defense-in-depth constructs centered on building layers of defense are insufficient to achieve that objective. Instead, there is a need to explore strategic resilience-based approaches that involve designing the systems to protect critical components and functions, strive to provide service in the face of cyber attacks, and ensure timely response and recovery if the attacks succeed.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039873,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039873,,Buildings;Computer security;Context modeling;Resilience;SCADA systems,SCADA systems;power grids;power meters;power system measurement,SCADA;critical control systems;defense-in-depth;power grid;smart meters;strategic resilience;supervisory control and data acquisition systems;wide area measurement systems,,0,7,,,,24-29 July 2011,,IEEE,IEEE Conferences
Performance of power electronic interfaced DERs integrated with communication network,R. Majumder; G. Bag; S. Chakrabarti,"ABB Corporate Research, Sweden",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,7,"In this paper, the performance of power electronic interfaced distributed energy resources (DERs) operating with communication network is investigated. The application of power electronic interface is required, for system operation and control while achieving a stable system with high power quality. In a smart grid scenario, due to the dependency of data acquisition, protection and control, an integrated communication is essential, to improve the system reliability and efficiency. The integrated communication will create a dynamic and real time information exchange. This information are used to operate many intelligent electronic interfaces. The reference signals of the power electronic devices are largely based on those communicated measurements and information. Depending on the communication technology, these measurements can vary in quality, update rate, sensitivity and noise. This paper investigates the performance of the distributed resources operating with power electronic interfaces and communicated measurements. Close loop simulation of the power network and communication network is carried out with SIMPOWER and TRUETIME respectively.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039165,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039165,Communication;Distributed Resources;Power Electronic interface;Power quality,Communication networks;Current measurement;Power electronics;Power quality;Reactive power;Reliability;Switches,distributed power generation;power distribution reliability;power supply quality;smart power grids,DER control;SIMPOWER;TRUETIME;close loop simulation;electronic devices;high power quality;integrated communication network;intelligent electronic interfaces;power electronic interfaced DER;power electronic interfaced distributed energy resources;power network;reliability;smart grid scenario,,1,12,,,,24-29 July 2011,,IEEE,IEEE Conferences
Modeling of communication latency in smart grid,C. P. Nguyen; A. J. Flueck,"Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL, 60616 USA",2011 IEEE Power and Energy Society General Meeting,20111010,2011,,,1,7,"The goal of this paper is to model the communication latency among distributed intelligent agents because latency 1) is not zero, 2) is not constant, and 3) can have a significant impact on the higher-level capabilities of a smart grid installation, in particular any protection or coordination functions. Communication latency is considered an inherent parameter which affects the performance of the communication network - the backbone of the multi-agent system. Due to many stochastic factors in a communication environment, communication latency will be best modeled as a random parameter with a probability density function. The latency of sending/receiving messages among distributed intelligent agents is randomly generated based on user input data. In the numerical studies, two abnormal events occurring in the modified IEEE 34 node test feeder will be simulated to validate the proposed methodology. The simulation will measure how fast the smart grid responds to the disturbances when considering fixed latency, as well as random latency.",1932-5517;19325517,Electronic:978-1-4577-1002-5; Online:978-1-4577-1001-8; Paper:978-1-4577-1000-1,10.1109/PES.2011.6039815,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6039815,Smart grid;communication latency;multi-agent systems,Circuit faults;Communication networks;Intelligent agents;Multiagent systems;Smart grids;Switches,power engineering computing;smart power grids,communication latency;distributed intelligent agents;multiagent system;probability density function;random parameter;smart grid,,14,16,,,,24-29 July 2011,,IEEE,IEEE Conferences
