Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Practical Approach to Wireless GPRS On-Line Power Quality Monitoring System,P. K. Lee; L. L. Lai,"Director, Powerpeg NSI Limited, Hong Kong, email: r",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,7,"In this paper, the authors discuss the way to adopt the cost effective GPRS applications. Although there have been lots of theories and concepts on the GPRS applications but the real applications applying to a large network, distributed power generation or building energy/power distribution monitoring are limited. The authors focus the application of the GPRS to this on-line system application and the techniques. A practical scheme is proposed and its use to real-life system will be introduced. A practical implementation for an wireless GPRS on-line Power Quality Monitoring System will be illustrated. Results and benefit to the end users in some practical applications will be discussed.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.385937,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275703,PQ meter;network architecture;wireless communication,Costs;Ground penetrating radar;Hardware;Image databases;Mirrors;Monitoring;Power quality;Voltage fluctuations;Web and internet services;Wireless communication,distributed power generation;packet radio networks;power supply quality;power system measurement;radiotelemetry,building energy-power distribution monitoring;distributed power generation;general packet radio service;on-line system application;power quality monitoring system;wireless GPRS applications,,9,4,,,,24-28 June 2007,,IEEE,IEEE Conferences
A Web-Based Fuel Management Software System for a Typical Indian Coal based Power Plant,R. N. Lahiri; A. Sinha; S. Chowdhury; S. P. Chowdhury; Y. H. Song,"Principal Consultant, Tata Consultancy Services Ltd., Kolkata, India; Member, IEEE(USA), IET(UK), IE(I), IETE(I), CSI(I). Email: rabindra.lahiri@tcs.com",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,8,"The fuel management system forms an integral part of the management process in a power plant and hence is one of the most critical areas. It deals with the management of commercial, operational and administrative functions pertaining to estimating fuel requirements, selection of fuel suppliers, fuel quality check, transportation and fuel handling, payment for fuel received, consumption and calculation of fuel efficiency. The results are then used for cost benefit analysis to suggest further plant improvement. At various levels, management information reports need to be extracted to communicate the required information across various levels of management. The core processes of fuel management involve a huge amount of paper work and manual labour, which makes it tedious, time-consuming and prone to human errors. Moreover, the time taken at each stage as well as the transparency of the relevant information has a direct bearing on the economics and efficient operation of the power plant. Both system performance and information transparency can be enhanced by the introduction of Information Technology in managing this area. This paper reports on the development of Web-based Fuel Management System Software, based on 3-tiered J2EE architecture, which aims at systematic functioning of the Core Business Processes of Fuel Management of a typical coal-fired thermal power plant in the Indian power scenario.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.385947,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275713,Fuel management system;J2EE architecture;business layer;database layer;modules;presentation layer,Energy management;Fuels;Information management;Power generation;Power system management;Quality management;Software development management;Software systems;Thermal management;Transportation,Internet;energy management systems;power engineering computing;steam power stations,Indian coal based power plant;J2EE architecture;Web-based fuel management software system;coal-fired thermal power plant;core business processes;information technology;management information,,1,11,,,,24-28 June 2007,,IEEE,IEEE Conferences
Europe: Impact of Dispersed Generation on Power System Structure and Secure Power System Operation,T. Hammons; Z. Styczynski,"Chair International Practices for Energy Development and Power Generation, University of Glasgow, 11C Winton Drive, Glasgow G12 0PZ, UK. E-mail: T.Hammons@ieee.org, Tel: +44 141 339 7770",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,5,"The power system is a critical infrastructure for which its secure operation has a decisive influence on the development of industrial nations. Changes in structure of primary energy resources will also modify the structure and operation of the power system in order to fulfill the high requirements of the infrastructure. In this context, a vision sees the power system of the future consisting of a number of self-balancing distribution network areas. In each of these areas a significant share of power demand will be covered by renewable and CHP generation. However, the power balance of these areas should be plan-able and dispatch-able in such a way that import or export of power from or into the higher-level network has to follow a schedule that can be predicted in advance with a high level of accuracy.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.385473,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275355,,Cogeneration;Distributed power generation;Europe;Power generation;Power system economics;Power system planning;Power system reliability;Power system security;Power systems;Renewable energy resources,cogeneration;distribution networks;power system security;renewable energy sources,CHP generation;Europe;cogeneration of heat and power;dispersed generation;power generation;power system security operation;power system structure;primary energy resources;self-balancing distribution network,,1,,,,,24-28 June 2007,,IEEE,IEEE Conferences
Communication Requirements and Solutions for Secure Power System Operation,B. M. Buchholz; Z. A. Styczynski,"PTD SC PTI, Siemens AG, Germany, Erlangen. bernd.buchholz@siemens.com",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,5,"The further increase of the contribution of D&RES in the peak power balance up to 60 % in accordance with the goals of the European Communities for the year 2010 requires innovative approaches to keep the security of the power supply on the actual high level. The communication will be the key for the further suitable operation of the power system. New communication facilities will be necessary to provide the reliable data for e.g. decentralized energy management, integrated planning tasks and to ensure the provision of system services by D&RES. The communication network with different physical communication channels has been investigated in scope of some pilot projects. Further more, the application of communication standards is investigated and in the result the use of the data models and the services of the communication standard IEC 61850 (for substation communication) is recommended. Also the standard IEC 61968 has been discussed. Finally, it becomes clear that the implementation of more communication in the distribution level is necessary for the secure power system planning and operation.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.385633,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275242,Power system of the future;communication;energy management;network planning and operation;performance criteria,Communication standards;Communication system security;Data security;IEC standards;Power supplies;Power system planning;Power system reliability;Power system security;Power systems;Telecommunication network reliability,IEC standards;power system planning;power system security;telecommunication networks;telecommunication standards,D&RES;European Communities;communication requirements;communication standard IEC 61850;dispersed and renewable energy sources;peak power balance;physical communication channels;power system planning;secure power system operation,,4,13,,,,24-28 June 2007,,IEEE,IEEE Conferences
Risk Management vs. Risk Avoidance in Power Systems Planning and Operation,S. S. Oren,"Fellow, IEEE, Department of Industrial Engineering and Operations Research, University of California at Berkeley, Berkeley, CA 94720 USA. e-mail: oren@ieor.berkeley.edu",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,3,"Civil and critical infrastructure systems such as transportation, communication, power, and financial systems have provided the foundation for modern society. Not surprisingly, much of the research work in many areas of engineering was directed over the years at the advancement and application of scientific principles to the design, maintenance and improvement of the critical infrastructures in our society. Risk assessment and systematic consideration of risk in the design and operation of infrastructure is a relatively new phenomenon that emerged within the last fifty years. While many engineering disciplines still do not consider probability and statistics as essential basic knowledge for engineers, like physics for instance, consideration of risk has penetrated all engineering disciplines. In most cases, however, such considerations take the form of setting thresholds and safety margins so as to avoid ""unacceptable"" risk, where acceptability levels are typically determined by experts. In power systems for instance, the common wisdom has traditionaly been to build sufficient capacity so that the system will fail to meet demand no more than one day in ten years. Similarly, power system operation is governed to a large extent by the ""N-1 security criterion"" which requires that the system as a whole can sustain failure of any one element (e.g. generator, transmission line, transformer etc.).",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.385877,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275643,,Design engineering;Knowledge engineering;Physics;Power engineering and energy;Power system planning;Power system security;Probability;Risk management;Statistics;Transportation,power system management;power system planning;power system security;risk management,N-1 security criterion;power system operation;power system planning;risk assessment;risk avoidance;risk management,,5,,,,,24-28 June 2007,,IEEE,IEEE Conferences
Do Investments Prevent Blackouts?,D. S. Kirschen,"Fellow, IEEE, University of Manchester, PO Box 88, Manchester, M60 1QD, United Kingdom; Professor, Leader, Electrical Energy and Power Systems Group, The University of Manchester. Phone: +44 161 306 4642; fax: +44 161 306 4820; e-mail: daniel.kirschen@manchester.ac.uk",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,5,This presentation explores whether the probability of blackouts can be reduced by additional investments in transmission capacity. It also discusses whether deregulation increases the probability of such events.,1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.385653,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275262,Power system security;blackouts;deregulation;transmission expansion,Costs;Investments;Power generation;Power generation economics;Power system economics;Power system faults;Power system protection;Power system reliability;Power system security;Power systems,investment;power system security;power transmission economics;power transmission faults;power transmission protection;probability,blackout prevention;deregulation;power system security;probability;transmission capacity investments,,4,4,,,,24-28 June 2007,,IEEE,IEEE Conferences
Weather and Reliability,A. Islam; A. Domijan,"Department of Electrical Engineering, University of South Florida, Tampa, FL 33620 USA. e-mail: arifi@eng.usf.edu",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,5,"Network-centric infrastructure demands robust systems that can respond automatically and dynamically to natural, accidental and deliberate faults, be they on a local scale, regional or national. The effects of weather, from heat waves and cold fronts to hurricanes and ice storms, on the electrical infrastructure are expected to escalate. The consequent power interruptions are an economic hardship of +100 billion dollars annually on the states affected and pose a significant threat to public safety nationally. The electrical infrastructure is fragile, and as each adverse weather system passes over our critical electrical infrastructure it becomes increasingly difficult to supply energy and restore service in case of disruption. A transformative research initiative will be discussed that will begin to protect and harden our nation's critical electrical infrastructure. This vision would lead to next generation power systems to come into being that are flexible, reliable, and intelligent electrical energy delivery systems. A revolutionary new way of sensing, intelligence gathering, and corrective actions is envisioned. The goal is to provide near uninterruptible service during severe weather events and make feasible monitoring of the critical electrical infrastructure in real time.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.386012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275778,meteorology;power distribution;reliability;statistics,Hurricanes;Ice;Power generation economics;Power system economics;Power system protection;Power system reliability;Power system restoration;Resistance heating;Robustness;Storms,power system faults;power system measurement;power system protection;power system reliability,accidental faults;cold fronts;corrective actions;deliberate faults;electrical infrastructure;heat waves;hurricanes;ice storms;intelligence gathering;intelligent electrical energy delivery systems;natural faults;network centric infrastructure;next generation power systems;power interruptions;robust systems;uninterruptible service;weather system,,1,4,,,,24-28 June 2007,,IEEE,IEEE Conferences
OSS Implementation in Utility Applications,E. Liu; J. Zhou; P. Chen; E. Dabiri,"Nexant, Inc., San Francisco, California, USA",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,1,"Open source software has risen to great prominence recently. It has become an attractive alternative to software developers in different fields, including electric energy professionals. Software released under an open source license is freely distributed with its source code, enabling users to use, copy, distribute, examine, modify and improve it to meet their needs - without having to pay royalties to previous developers. In this presentation, we will discuss general background of open source software development and the current open source software revolution. Two real-world web-based implementations using open source software components are presented: (i) the firm transmission right auction system used by California ISO before its new nodal market is established, and (ii) the database application used by utilities to track the performance and accounting of their energy efficiency programs.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.386056,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275822,Open source software;Web-based;utility applications,Application software;Business;Databases;Energy efficiency;History;ISO;Licenses;Open source software;Open systems;Software debugging,Internet;power engineering computing;power markets;public domain software,California ISO;Web-based implementations;electric energy professionals;energy efficiency programs;nodal market;open source software;software development;source code,,0,,,,,24-28 June 2007,,IEEE,IEEE Conferences
Strengthening Our Capacity to Educate Power Engineers,C. C. Liu,"Fellow, IEEE, Palmer Chair Professor, Electrical and Computer Engineering, Iowa State University. E-mail: liu@iastate.edu",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,1,"This is a summary of the presentation in the panel session ""Power Industry Workforce of the Future"" for the 2007 IEEE PES General Meeting in Tampa, Florida.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.386051,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4275817,Power Engineering Education;Power Engineering Faculty Positions;Student Recruitment and Retention;Workforce Activities,Fellow Committee;History Committee;Power & Energy Society;Power engineering;Power engineering and energy;Power engineering computing;Power industry;Power system analysis computing;Power systems;Recruitment,power engineering education,IEEE PES General Meeting;Power Industry Workforce of the Future;Tampa;panel session;power engineering education;power engineering faculty positions;student recruitment;workforce activities,,0,,,,,24-28 June 2007,,IEEE,IEEE Conferences
Integrating the Infrastructures,J. Hughes,"Electric Power Research Institute, Palo Alto, California",2007 IEEE Power Engineering Society General Meeting,20070723,2007,,,1,4,"The power and energy industries are in the midst of developing integrated systems with intelligence. However, while this promises a world of new applications and improvements it also poses large challenges. While older systems were able to do much with component level intelligence future systems must increasingly rely on more sophisticated distributed computing systems. The concepts of distributed computing goes beyond communications between systems to include all the elements necessary to achieve systems that not only interoperate but interwork. Large scale interworkability implies not only the ability to get a message across a network but to have that message understood and correctly acted upon by intelligent equipment. Massively scaled systems in the future implies large scale integration and the disciplines necessary to manifest the vision. This future view poses a number of challenges that need to be recognized and responsive strategies developed. Standards in themselves are insufficient to achieve this overall vision. Disciplines such as architecture development and complex systems engineering must be considered as well as new approaches to traditional systems engineering.",1932-5517;19325517,CD-ROM:1-4244-1298-6; POD:1-4244-1296-X,10.1109/PES.2007.386281,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276047,,Communication industry;Distributed computing;IEC standards;Intelligent systems;Load management;Power engineering and energy;Power industry;Power system dynamics;Standards development;Systems engineering and theory,distributed processing;electricity supply industry,architecture development;complex systems engineering;component level intelligence future systems;distributed computing systems;energy industries;integrated systems;large scale interworkability;power industries,,0,,,,,24-28 June 2007,,IEEE,IEEE Conferences
