Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Modeling reliability aspects of distributed generation connected to distribution systems,W. S. Andrade; C. L. T. Borges; D. M. Falcao,"Fed. Univ. of Rio de Janeiro, Brazil",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,6 pp.,,This paper presents a discussion about modeling reliability aspects of distributed generation connected to distribution systems. Three different models developed by the authors are presented. The first is based on analytical method and is applicable to DG units of non-intermittent energy sources. The second considers the uncertainty of generation associated with wind generation and proposes a model based on multiple states Markov process. The third combines some aspects of the two previous models and aggregates the load variation curve in a sequential Monte Carlo simulation method. Practical operational premises are explored in all models,1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1708991,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1708991,Distributed Generation;Distribution Systems;Reliability;Uncertainty Modeling,Costs;Distributed control;Investments;Power generation;Power system modeling;Power system reliability;Solar power generation;Uncertainty;Wind energy;Wind energy generation,Markov processes;Monte Carlo methods;distributed power generation;power distribution reliability;wind power plants,distributed generation;distribution systems;load variation curve;multiple states Markov process;nonintermittent energy sources;reliability aspects;sequential Monte Carlo simulation;wind generation,,9,12,,,,0-0 0,,IEEE,IEEE Conferences
Real time issues for dynamic security assessment,N. Hadjsaid; C. Surdu; M. Eremia,"Laboratoire d'Electrotechnique de Grenoble, Domaine Univ., Grenoble, France",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,2 pp.,,"The objective of the work to be presented in this panel is to deal and discuss real time issues regarding the dynamic security assessment combined with the PMU (phasor measurement units) utilization. In particular, the work focuses on suitable methods for predicting the system trajectory in the multidimensional angle space and for assessing the transient stability margin in the real time for all contingencies. The classical numerical methods can be used to achieve accurate results for the CCT (critical clearing time) estimation despite they are time-consuming and not quite appropriate for real time applications. The direct methods proved to be adequate for real-time analysis since the necessary information concerning the dynamic security can be obtained without the explicit solution of the set of differential equations associated to the system",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709329,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709329,,Control systems;Phasor measurement units;Potential energy;Power system analysis computing;Power system dynamics;Power system modeling;Power system security;Power system stability;Power system transients;Real time systems,differential equations;phase measurement;power engineering computing;power system measurement;power system security;power system transient stability,critical clearing time estimation;differential equations;dynamic security assessment;multidimensional angle space;numerical methods;phasor measurement units;real-time analysis;system trajectory;transient stability margin,,3,11,,,,18-22 June 2006,,IEEE,IEEE Conferences
Web-services infrastructure for information integration in power systems,Qizhi Chen; H. Ghenniwa; Weiming Shen,"Sch. of Electr. Eng., Southwest Jiaotong Univ., Sichuan, China",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,8 pp.,,"This paper identifies new information integration requirements related to operation, marketing, and maintenance of a power system. A Web-services infrastructure for information integration in power systems is proposed. The objective is to develop an open, flexible, and scaleable framework with higher cooperation and integration capability. Some design issues for implementing a Web services-based SCADA (WS-SCADA) are addressed as a case study of this novel infrastructure",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709387,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709387,IEC61850;IEC61970;Intelligent Electrical Devices (IEDs);Power systems;Web services;Web services protocols;information integration;information integration infrastructure;service-oriented architecture (SOA);supervisory control and data acquisition (SCADA),Energy management;Power system control;Power system security;Power systems;Resource management;SCADA systems;Service oriented architecture;Simple object access protocol;Web services;XML,Internet;SCADA systems;maintenance engineering;power engineering computing;power system economics,SCADA;Web-services infrastructure;information integration;power system maintenance;power system marketing;power system operation,,6,23,,,,0-0 0,,IEEE,IEEE Conferences
Developing a comprehensive substation cyber security and data management solution,A. Sologar; J. Moll,"SUBNET Solutions, Calgary, Alta., Canada",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,6 pp.,,"Recent regulatory requirements in the United States and the growing complexity of transmission grids worldwide have prompted the need for greater substation data communications security. Southern Company, one of the largest utilities in North America, required a comprehensive security solution for providing and controlling access to intelligent electronic devices within its substations. Using a combination of commercial hardware and software, in conjunction with software developed by SUBNET Solutions Inc., Southern Company has begun a standardized rollout of the proposed solution across four of its electric utility companies. This paper explores the challenges faced by Southern Company and other utilities, the subsequent development of a solution, and the future benefits of that solution",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709346,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709346,Power system maintenance;Power system planning;Power system security;Power transmission,Computer security;Data security;Energy management;North America;Power industry;Power system management;Power system planning;Power system reliability;Power system security;Substations,data communication;power grids;substation automation,data management solution;intelligent electronic devices;substation cyber security;substation data communications security;transmission grids,,1,1,,,,0-0 0,,IEEE,IEEE Conferences
The role of a dedicated power research center in meeting the future trends in power engineering,S. J. Dale,,2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,1 pp.,,"Summary form only given. This panel presentation addresses the role of a dedicated power engineering research center in meeting the future trends in power engineering education, research, and career. In particular, the example of the newly established Center for Advanced Power Systems (CAPS) at Florida State University, Tallahassee, FL will be provided. CAPS was established in 2000 at FSU with federal support from the Office of Naval Research (ONR) and has since then been contributing to the field of power engineering through research in the field of advanced power systems engineering and the education of the next-generation of power engineers. The presentation includes statistics on the research funding, number of graduates from the program and other significant information. The presentation also provides information on how the center addresses the future trends in power engineering research and education",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709553,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709553,Dedicated research centers;education;power engineering;research,Educational programs;Engineering profession;Power engineering;Power engineering and energy;Power engineering education;Power systems;Statistics;Systems engineering and theory;Systems engineering education,power engineering education;statistical analysis,Center for Advanced Power Systems;Florida State University;Office of Naval Research;power engineering education;power engineering research center,,0,,,,,18-22 June 2006,,IEEE,IEEE Conferences
Complexity in energy networks under uncertainty,J. R. Birge,"Graduate Sch. of Bus., Chicago Univ., IL, USA",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,4 pp.,,"This paper considers the effect of complex interactions in energy networks. In particular, we consider a system in which agents bid price and quantity to supply the market. We characterize the overall equilibrium problem, show that it may yield multiple equilibria, and describe extensions to more complex situations",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709360,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709360,,Cost function;Dispatching;Intelligent networks;Nash equilibrium;Network topology;Optimization methods;Random variables;Uncertainty,power markets;pricing,agents bid price;energy networks complexity;equilibrium problem;multiple equilibria,,0,6,,,,0-0 0,,IEEE,IEEE Conferences
Toward a self-healing energy infrastructure,M. Amin,"Minnesota Univ., Duluth, MN, USA",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,7 pp.,,"Virtually every crucial economic and social function depends on the secure, reliable operation of energy, telecommunications, transportation, financial, and other infrastructures. The nature of electricity demand is undergoing a profound shift in industrialized nations across the globe. From a strategic R & D viewpoint, agility and robustness/survivability of large-scale dynamic networks that face new and unanticipated operating conditions are presented. A major challenge is posed by the lack of a unified mathematical framework with robust tools for modeling, simulation, control and optimization of time-critical operations in complex multicomponent and multiscaled networks. New tools and techniques are being developed to enable large national infrastructures to function in ways that are self-stabilizing, self-optimizing, and self-healing. This presentation focuses on a strategic vision extending to a decade, or longer, that would enable more secure and robust systems operation, security monitoring and efficient energy markets",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709607,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709607,Self-healing infrastructure;and handling rare events;characterization of uncertainty in large distributed networks;computation and control;distributed sensing;intelligent agents;modeling and control of complex dynamical systems;stochastic analysis of network performance,Large-scale systems;Mathematical model;Monitoring;National security;Power generation economics;Robust control;Robustness;Telecommunication network reliability;Time factors;Transportation,power markets;power system economics;power system measurement;power system reliability;power system security,complex multicomponent networks;electricity demand;energy markets;energy operation reliability;large-scale dynamic networks;multiscaled networks;robust systems operation;security monitoring;self-healing energy infrastructure,,6,24,,,,0-0 0,,IEEE,IEEE Conferences
The future trends of electric power engineering education in the United States,G. T. Heydt,"Arizona State Univ., Tempe, AZ, USA",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,4 pp.,,This panel presentation relates to present trends in power engineering education in the United States. Some comments on challenges in power engineering at universities are included,1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1708925,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1708925,,AC generators;Educational programs;Engineering education;North America;Power engineering;Power engineering and energy;Power engineering education;Power generation;Synchronous generators;USA Councils,educational courses;educational institutions;power engineering education,United States;electric power engineering education;engineering education program;universities,,1,8,,,,0-0 0,,IEEE,IEEE Conferences
Power distribution asset management,O. Tor; M. Shahidehpour,"Middle East Tech. Univ., Ankara, Turkey",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,7 pp.,,"The principal objective of the asset management in a power distribution utility enterprise (DUE) is to guide the acquisition, use and disposal of distribution system assets to provide the level of service required by customers in the cost-effective manner, encompassing the strategic planning, maintenance and utilization and operation of a physical resource throughout its life. This study categorizes the asset management strategies of a (DUE) based on short-term, mid-term and long-term timescales and shows that their coordination plays a critical role in making strategic decisions. Short-term asset management is related with operational issues. Secure and reliable operation of the network, system monitoring and control, fault restoration are among the issues discussed in the paper. The issues regarding the maintenance of assets including the optimal maintenance strategy and optimal outage plan are presented under the title of mid-term asset management. Finally, strategic planning is discussed, where distributed generation (DG) is evaluated in the context of long-term system planning strategy. The utilization of information technologies (IT) plays a central role in the asset management of a DUE in all timescales",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709234,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709234,,Asset management;Costs;Energy management;Industrial economics;Maintenance;Power distribution;Power generation;Power generation economics;Risk management;Strategic planning,distributed power generation;electricity supply industry;maintenance engineering;power distribution economics;power distribution reliability;power generation planning;power system management,DG;DUE;assets maintenance;distributed generation;distribution utility enterprise;fault restoration;information technologies;long-term system planning strategy;long-term timescales;mid-term timescales;network operation reliability;optimal maintenance strategy;optimal outage plan;power distribution asset management;short-term timescales;strategic planning;system control;system monitoring,,16,7,,,,0-0 0,,IEEE,IEEE Conferences
An electric power energy monitoring system in campus using an Internet,T. Nagata,"Dept. of Electr. Eng., Hiroshima Inst. of Technol., Japan",2006 IEEE Power Engineering Society General Meeting,20061016,2006,,,6 pp.,,"Electrical power is a base resource that supports social economic activity, and its stable and efficient supply is indispensable for continued economic development. Use of inverter technologies and so on have facilitated saving of energy with individual apparatus, there is considerable scope for saving energy in factories, buildings, stores and schools at the time of operation. In order to acquire data about the actual conditions of power consumption, an electric power energy monitoring system is developed. This paper describes the system configuration and the surveillance results",1932-5517;19325517,POD:1-4244-0493-2,10.1109/PES.2006.1709008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1709008,electric power;internet;power energy monitoring system,Computer networks;Computerized monitoring;Energy consumption;Environmental economics;Internet;Inverters;Network servers;Power generation economics;Power system economics;Web server,Internet;computerised monitoring;data acquisition;power engineering computing;power system reliability;power system stability,Internet;electric power energy monitoring system;inverter technologies;social economic activity,,4,1,,,,0-0 0,,IEEE,IEEE Conferences
