Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Communication network topology analysis on distributed optimization performance in PV-ES combined system,Zhuoyang Wang; Liyan Zhang; Guo Chen; D. J. Hill,"School of Electrical and Information Engineering, University of Sydney, Australia",2015 IEEE Power & Energy Society General Meeting,20160331,2015,,,1,5,"The number of distributed photovoltaic (PV) and energy storage (ES) device is increasing in power system. A lot of distributed optimization algorithms have been adopted to optimize these PV-ES combined system. Units in the system exchange information through communication network to maximize the net profit synergistically. A lot of research works have been carried out but mainly focused on enhancing the efficiency of optimization algorithms. In this paper, we attempt to give some guidance on how to design a better communication network by innovatively analyzing the performance of a typical distributed optimization algorithm on different network topology. Several classic topologies of communication network are introduced respectively. Furthermore, a series of simulation are investigated. The performances are analyzed based on graph theory. The implication of Laplacian eigenvalues and degree distribution are discussed. And the potential of the optimal topology for communication network is given.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286043,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286043,communication network;distributed optimization;energy storage;network topology;photovoltaic system,Communication networks;Eigenvalues and eigenfunctions;Fluctuations;Laplace equations;Network topology;Optimization,distributed power generation;eigenvalues and eigenfunctions;energy storage;graph theory;network topology;photovoltaic power systems,Laplacian eigenvalue implication;PV-ES combined power system;communication network topology analysis;degree distribution implication;distributed optimization performance;distributed photovoltaic and energy storage device;graph theory,,,14,,,,26-30 July 2015,,IEEE,IEEE Conferences
Smart grid data integrity attacks: Observable islands,M. Garcia; A. Giani; R. Baldick,"Los Alamos National Laboratory, New Mexico, United States",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"Unobservable data integrity attacks are coordinated cyber attacks on power meter readings that are undetectable by any bad data detection algorithm. Counter measures against data integrity attacks have been extensively studied in the context of observable islands; however, the concept of observable islands has only been introduced for a specific type of attack known as the power injection attack which compromises only power injection meters and power flow meters. This manuscript introduces the concept of observable islands to a recently identified type of data integrity attack that may also compromise breaker status meters. We call this type of attack a General Data Integrity attack (GDI attack). The results presented here allow for observable island based PMU placement countermeasures, initially developed for power injection attacks, to be applied to GDI attacks. An example shows that these observable islands are prominent when using both linear state estimators and non-linear state estimators.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286300,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286300,Cyber security;data integrity attack;observable island;topology estimation,Context;Noise measurement;Phasor measurement units;Power measurement;Power systems;State estimation;Transmission line measurements,data integrity;load flow;phasor measurement;power engineering computing;power meters;power system state estimation;security of data;smart power grids,GDI attack;PMU placement;breaker status meter;coordinated cyber attacks;general data integrity attack;linear state estimator;nonlinear state estimator;observable island;phasor measurement unit;power flow meter readings;power injection attack;power injection meter readings;smart grid data integrity attacks;unobservable data integrity attacks,,1,13,,,,26-30 July 2015,,IEEE,IEEE Conferences
Self healing network (Centralized Restoration Gateway),C. Thompson,"Georgia Power Co., Atlanta, GA, USA",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,22,A collection of slides from the author's conference presentation was given. The topics discussed were manual fault isolation and restoration and automatic fault location isolation and service restoration.,1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286650,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286650,,Fault location;Gas insulation;Load flow;Logic gates;Manuals;Switches;Telemetry,fault location,automatic fault location isolation;centralized restoration gateway;manual fault isolation;manual fault restoration;self healing network;service restoration,,,,,,,26-30 July 2015,,IEEE,IEEE Conferences
Study of the impact of communication failures on power system,Yusheng Xue; Ming Ni; Jie Yu; Jianqiang Hu; Wenjie Yu,"NARI Technology Inc., Nanjing, China",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"With the development of strong and smart grid, power grid and communication system become highly interconnected and mutually dependent. Complex network approach is applied in this paper to describe the interactive characteristics of hybrid power and communication systems in terms of topologies. Qualitative analysis of the impact of communication system on power grid is straightforward. However, quantitative analysis is challenge. This paper proposes a generic and systematic approach for quantitatively studying the impact of communication failures on power control system's measurement and control functions.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286472,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286472,Communication failure;bit error of communication;communication interruption;communication latency;complex network;power system control,Control systems;Lead;Power grids;Power measurement;Robustness;Voltage control,power grids;power system control,communication failures;communication system;control functions;power control system measurement;power grid;power system,,,13,,,,26-30 July 2015,,IEEE,IEEE Conferences
Reliability-based updating strategies of cyber infrastructures,C. Wang; Y. Hou,"Dept. Electronic and Electrical Engineering, The University of Hong Kong, China",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"Cyber security is one critical issue for Internet protocol (IP)-based cyber-physical systems. To protect physical systems from possible malicious intrusions, cyber infrastructures, e.g., firewalls, are installed in systems. However, with more intelligent cyberattacks, existing firewalls may not be advanced enough to protect these intelligent cyberattacks, which increase the probability of outages and reduce system reliability levels. In this case, cyber infrastructures should be updated to deal with more intelligent cyberattacks. This paper proposes a probabilistic method for making decisions about updating strategies of cyber infrastructures. Considering stochastic characteristics of cyberattacks, a reliability-based cost-effective updating model for cyber infrastructures is formulated. The optimal updating strategy balances the system reliability and the cost caused by updating cyber infrastructures. The proposed method is illustrated on the IEEE 30-bus system, and the results show the feasibility for informing updating cyber infrastructures.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286403,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286403,Cost effective;cyber infrastructure;cyber security;probabilistic;updating strategy,Computer crime;Firewalls (computing);Intrusion detection;Load modeling;Optimization;Reliability,Internet;carrier transmission on power lines;probability;protocols;stochastic processes,IEEE 30-bus system;Internet protocol-based cyber-physical systems;cyber infrastructures;cyber security;intelligent cyberattacks;malicious intrusions;outage probability;probabilistic method;reliability-based updating strategies;stochastic characteristics;system reliability levels,,,13,,,,26-30 July 2015,,IEEE,IEEE Conferences
Dealing with a complex smart grid: An integrated perspective,S. Z. Djokic; D. Hirst; B. D. Bonatto; H. Arango; J. Liu; S. W. Pullins; R. C. Feiock; P. F. Ribeiro,"University of Edinburgh, Faraday Building 4.112, EH9 3JL, UK",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"The electrical infrastructure of the future will be much more complex than today. It will integrate traditional and sustainable energy sources, existing and new distribution networks, customers with quite different consumption patterns and a variety of smart control systems. At this moment, however, there is no comprehensive engineering model that can cope with the higher level of complexity of future electric grids. Therefore, engineers have to use traditional models to design the next generation of electrical infrastructure, which might result in undesirable consequences, such as overlooking of some important interactions between technical systems, or ignoring relevant non-technical dimensions, like social behavior of customers, or neglecting some ultimately â€œmoral dimensionsâ€ù of smart grids and interests of economically weak stakeholders. The main objective of this paper is to ask conceptual, practical, but also philosophical questions, as well as to present analyses of cases, which could assist engineers with the development of holistic planning and designs for future electric grids. This paper combines opinions and arguments on this subject from members of IEEE Working Group on Sustainable-Future Electrical Energy System Design.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286297,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286297,Electricity networks;markets;models;power quality;reliability;smart grids;techno-economic performance,Complexity theory;Interoperability;Power quality;Power system reliability;Reliability;Smart grids;Stakeholders,power system management;power system planning;smart power grids,IEEE working group;complex smart grid;customer social behavior;economically weak stakeholder;electrical infrastructure;holistic planning;smart power grids;sustainable future electrical energy system design,,2,10,,,,26-30 July 2015,,IEEE,IEEE Conferences
Information theoretic index for regime shifts in power systems,L. Ren; P. Zhang; H. Ye,"Department of Electrical and Computer Engineering, University of Connecticut, Storrs, 06269, USA",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"A regime shift occurs when a dynamical system's state shifts from a nominal equilibrium to an alternative equilibrium. This concept is often used to describe the collapse of ecological systems, but it also appears in many engineering systems; most notably in the voltage collapse of power systems. This paper uses an information theoretic index known as the Fisher Information (FI) as a real-time statistical index detecting regime shifts in a stressed IEEE 118 bus system. These preliminary experiments demonstrate that the FI index indeed provide early warning of abnormal operations leading to voltage instability. As a data driven method the proposed FI index provides a useful tool supporting the real-time monitoring of power system operations.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286525,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286525,Fisher Information;data driven;regime shift;resilience,Detectors;Indexes;Mathematical model;Power system stability;Real-time systems;Resilience;Voltage measurement,power system dynamic stability;power system measurement,Fisher Information;alternative equilibrium;dynamical system state;ecological systems collapse;information theoretic index;nominal equilibrium;power system operations;power systems;real-time monitoring;real-time statistical index;regime shifts;stressed IEEE 118 bus system;voltage collapse;voltage instability,,,10,,,,26-30 July 2015,,IEEE,IEEE Conferences
Error estimation of statistical baseline load methods,Xiaofeng Miao; Li Zhang; Yumin Zhang; Xueshan Han,"Key Laboratory of Power System Intelligent Dispatch and Control of Ministry of Education, Shandong University, Jinan, China",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"Customer baseline load (CBL) is widely used as an evaluation tool in demand response (DR) programs. Due to uncertainty of load, it is difficult to establish an accurate CBL model and the calculation error is inevitable. Therefore, calculation error of CBL must be estimated, so that DR programs can be evaluated effectively. Consumers' load changes with periodic pattern of production and life, meanwhile, it is also affected by some random factors. To reveal the relevance between CBL and the influence brought by the periodic trend and random factors of the load, an analysis is done in the paper. Firstly, discrete Fourier transform (DFT) is used to decompose the historical load into different periodic components. Then error of CBL calculation methods is analyzed. It can be seen that periodic components have a close relationship with the error limit of each method and give valuable information to determine the error range. Case studies demonstrate the validity of the analysis.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286280,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286280,Customer Baseline Load;Demand Response;Discrete Fourier Transform;Error Estimation,Accuracy;Discrete Fourier transforms;Error analysis;Load management;Load modeling;Performance evaluation;Smart grids,demand side management;discrete Fourier transforms;error analysis;estimation theory;statistical analysis,CBL;DFT;DR program;customer baseline load;demand response program;discrete Fourier transform;error estimation;load uncertainty;statistical baseline load method,,,13,,,,26-30 July 2015,,IEEE,IEEE Conferences
Efficient data acquisition in advanced metering infrastructure,Z. Hu; S. Mohagheghi; M. Sartipi,"Department of Computer Science and Engneering, The University of Tennessee at Chattanooga, 37403, USA",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"This paper will present a general and efficient methodology for data acquisition in Advanced Metering Infrastructure (AMI). Compressed distributed sensing using random walk (CDS(RW)) will be explored to acquire user load data from smart meters. This paper proposes to perform joint reconstruction of 2D user load profile using both spatial and temporal correlations. In this way, high data compression ratio can be achieved. Meanwhile, convex optimization will be the solver for the 2D user load profile reconstruction problem, which can guarantee both convergence and global optimality. Finally, taking power theft classification as a motivated example, this paper will demonstrate the performance will be acceptable even using the reconstructed user load profile for classification.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286155,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286155,CDS(RW);compression ratio;compressive sensing;correlation;load profile;power theft classification;smart meter;total variation,Compressed sensing;Correlation;Data acquisition;Data compression;Smart meters;Sparse matrices;Support vector machines,compressed sensing;convex programming;data acquisition;smart meters,2D user load profile reconstruction problem;advanced metering infrastructure;compressed distributed sensing;convex optimization;data acquisition;high data compression ratio;power theft classification;random walk;reconstructed user load profile;smart meters;spatial correlation;temporal correlation;user load data,,2,20,,,,26-30 July 2015,,IEEE,IEEE Conferences
Toward a resilient distribution system,Y. Xu; C. C. Liu; K. P. Schneider; D. T. Ton,"School of Electrical Engineering and Computer Science, Washington State University, Pullman, 99164, USA",2015 IEEE Power & Energy Society General Meeting,20151005,2015,,,1,5,"Resiliency with respect to extreme events, such as a major hurricane, is considered one of the key features of smart distribution systems by the U.S. Department of Energy (DOE). In this paper, approaches to resilient distribution systems are reviewed and analyzed. Three important measures to enhance resiliency, i.e., utilization of microgrids, distribution automation (DA), and vulnerability analysis, are discussed. A 4-feeder 1069-node test system with microgrids is simulated to demonstrate the feasibility of these measures.",1932-5517;19325517,Electronic:978-1-4673-8040-9; POD:978-1-4673-8041-6,10.1109/PESGM.2015.7286551,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7286551,Distribution system;distribution automation;extreme event;microgrid;resiliency;service restoration,Automation;Hurricanes;Maintenance engineering;Microgrids;Power system reliability;Reliability;Smart grids,distributed power generation;power distribution reliability,DOE;U.S. Department of Energy;distribution automation;microgrids;resilient distribution systems;smart distribution systems;vulnerability analysis,,2,20,,,,26-30 July 2015,,IEEE,IEEE Conferences
