Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Optimal operation of a virtual power plant,P. Lombardi; M. Powalko; K. Rudion,"Otto-von-Guericke University Magdeburg, Germany",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,6,"The increase in the amount of generators based on renewable energy sources (RES) in the power system is leading to many changes in its operation. Since the RES depends on weather conditions, coordinating the operation of the entire power system has become a more complex issue. New challenges need to be faced in order to supply the electric energy to the customers at the appropriate quality level. In this paper the concept and architecture of a complex virtual power plant (VPP) will be introduced and discussed. The focus will be paid to the optimization of the structure of the VPP as well as to its optimal operation. The result of the optimization have been presented and discussed in the paper taking into account different operation scenarios.",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275995,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275995,Virtual Power Plant;power flow monitoring and control;renewable energy sources;synchronized measurements;system observability,Control systems;Electronic switching systems;Load flow;Medical services;Power generation;Power system control;Power system security;Power systems;Renewable energy resources;Wind forecasting,optimisation;power plants;power systems;renewable energy sources,electric energy;optimal operation;optimization;power system;renewable energy sources;virtual power plant;weather conditions,,38,14,,,,26-30 July 2009,,IEEE,IEEE Conferences
Protection coordination â€” An important task for network security,J. Jaeger; R. Lubiatowski; R. Krebs; G. Ziegler,"University of Erlangen-N&#252;rnberg, Chair of Electrical Power Systems, Cauerstr. 4, 91058 Erlangen, Germany",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,4,This paper is dealing with the important task of protection coordination maintaining network security in nationwide power systems under changing network conditions. Existing protection systems have to be analyzed and checked under higher loading and contingency conditions. Adapted protection concepts should be evaluated applied to the network. Nowadays numerical simulation tools like PSS<sup>reg</sup>SINCAL provide the possibility of a holistic simulation of network and protection behavior. This paper is presenting the results of a protection coordination study based on the proposed method. The collection of protection and network data has been done on the basis of data plausibility algorithms firstly. Numerous different network contingencies were investigated. The software assistance and the visualisation of the enormous amount of output data are described. Generic network and protection configurations leading to maloperation can be clearly found. Further on the possibility of the development of systematic solutions covering the identified practical constraints under the changing network conditions is provided.,1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275790,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275790,Protection coordination;adaptive settings;holistic simulation;network security;protection security assessment;systematic protection check-up,Automatic control;Circuit simulation;Data security;Power system analysis computing;Power system interconnection;Power system protection;Power system security;Power system simulation;Power system stability;Protective relaying,numerical analysis;power system protection;power system security,PSS SINCAL;contingency conditions;data plausibility algorithms;generic network;loading conditions;network security;numerical simulation tools;power systems protection;protection coordination,,3,5,,,,26-30 July 2009,,IEEE,IEEE Conferences
A novel approach for distribution system operation utilization state of the art communication technology,D. Westermann; P. Bretschneider; H. Ruttinger,"University of Technology Ilmenau Power System Department, Ilmenau, Germany",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,6,This paper outlines a new approach of distribution system operation utilizing state of the art communication technology. Based on a generalized architecture that is suitable for real time control incorporating fluctuating infeeds from renewables a market driven approach will be outlined. This approach also includes some reference situations related to optimal distribution network power flow with an open and adaptive objective function. The value of the proposed structure will be demonstrated in reference to a first benchmark application within a real distribution network of a public utility.,1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275771,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275771,Distributed Generation;Distribution System;Energy management System;Optimization,Cogeneration;Communication system control;Communications technology;Distributed control;Load flow;Load management;Power generation;Power systems;Reactive power;Voltage,distribution networks;energy management systems;load flow,adaptive objective function;distribution network power flow;distribution system operation;public utility,,1,8,,,,26-30 July 2009,,IEEE,IEEE Conferences
Potentials and promises of computational intelligence for smart grids,G. K. Venayagamoorthy,"Director of the Real-Time and Intelligent Systems Laboratory, Missouri University of Science and Technology, Rolla, MO 65409-0249 USA",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,6,"The electric power grid is a complex adaptive system under semi-autonomous distributed control. It is spatially and temporally complex, non-convex, nonlinear and non-stationary with a lot of uncertainties. The integration of renewable energy such as wind farms, and plug-in hybrid and electric vehicles further adds complexity and challenges to the various controllers at all levels of the power grid. A lot of efforts have gone into the development of a smart grid to align the interests of the electric utilities, consumers and environmentalists. Advanced computational methods are required for planning and optimization, fast control of power system elements, processing of field data and coordination across the grid. Distributed and coordinated intelligence at all levels and across levels of the electric power grid â€” generation, transmission and distribution is inevitable if a true smart grid is to be reality. Computational intelligence (CI) is the study of adaptive mechanisms to enable or facilitate intelligent behavior in complex, uncertain and changing environments. These adaptive mechanisms include artificial and bio-inspired intelligence paradigms that exhibit an ability to learn or adapt to new situations, to generalize, abstract, discover and associate. The paradigms of CI mimic nature for solving complex problems. CI is successor of artificial intelligence and is the way of the future computing. This paper presents the potentials and promises of CI to realize an intelligent smart grid.",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275179,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275179,FACTS;adaptive control;adaptive critic designs;computational intelligence;plug-in vehicles;renewable energy;wide area monitoring and control,Adaptive systems;Artificial intelligence;Competitive intelligence;Computational and artificial intelligence;Computational intelligence;Power system control;Power system planning;Power systems;Programmable control;Smart grids,,,,15,28,,,,26-30 July 2009,,IEEE,IEEE Conferences
Intelligent reconfiguration of smart distribution network using multi-agent technology,S. Chouhan; H. Wan; H. J. Lai; A. Feliachi; M. A. Choudhry,,2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,6,"The distribution network reconfiguration is a process that consists of changing the status of the network switches for re-routing the power after a fault occurrence, or to optimize some given criteria. Traditionally, feeder reconfiguration is a complex combinatorial and constrained optimization problem because of the numerous combinations of candidate switches. A multi-agent based system for distribution network reconfiguration is proposed. The system consists of load agents and switch agents located at the loads and switches in the network and a global agent located at the substation. The objective is to supply the critical loads while maintaining an acceptable system voltage profile. Simulation results are presented for a typical distribution system named Circuit of the Future (CoF), which is developed by Southern California Edison (SCE).",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275356,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275356,Fault Reconfiguration;Graph Theory;Multi-agent technology;Smart Distribution Network,Circuit faults;Circuit simulation;Constraint optimization;Graph theory;Intelligent networks;Multiagent systems;Protocols;Substations;Switches;Voltage,multi-agent systems;power distribution faults;power engineering computing,Circuit of the Future;Southern California Edison;distribution faults;load agents;multi-agent technology;smart distribution network;switch agents,,11,11,,,,26-30 July 2009,,IEEE,IEEE Conferences
Individual customers' influence on the operation of virtual power plants,B. Buchholz; D. Nestle; A. Kiessling,"Dept. Grid & Plant Planning, DSO & energy service Co., Mannheim, Germany",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,6,"With respect to the political 20-20-20 goals of the European Union, the structure of the electricity network is subject to major changes. The German legal framework has encouraged the installation and operation of renewable energy systems and cogeneration units. As a consequence, in the city of Mannheim, Germany, more and more distributed generators feed into the distribution grid. In September 2008, more than 300 small PV systems and cogeneration units have been connected to the distribution grid, with a steadily rising number and installed capacity. The distribution grid can still host that number and capacity of distributed generation without any major integration efforts. However, to reach the above mentioned political goals, the electricity grid planners will face the challenge to integrate a much higher number of distributed generators as well as higher fluctuating capacity while maintaining and even improving reliability and security of supply. In 2007, the German government has launched the technology program ldquoE-Energyrdquo. Six research teams are currently developing new ICT infrastructures for six model regions in order to increase the efficiency of the energy system with ICT as enabling technology. This paper elaborates on the decentralized approach for a virtual power plant that researchers will apply to the city of Mannheim as one model city. Chapter 1 explains the role of individual customers who cooperate in a swarm like an organism. Chapter 2 provides the technical concept behind the new system architecture. Chapter 3 shows first experiences with the field test in Mannheim and Chapter 4 concludes the paper.",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275401,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275401,Distributed Generation;Energy Management;ICT,Cities and towns;Cogeneration;Distributed power generation;Feeds;Law;Legal factors;Mesh generation;Power generation;Power system modeling;Renewable energy resources,cogeneration;distributed power generation;photovoltaic power systems;power generation planning;power generation reliability;power grids;power plants,European Union;German government;ICT infrastructures;PV systems;cogeneration units;decentralized approach;distributed generators;distribution grid;electricity network;energy management;photovoltaic power system;renewable energy systems;virtual power plants,,2,9,,,,26-30 July 2009,,IEEE,IEEE Conferences
"A synergistic approach to implement demand response, asset management and service reliability using smart metering, AMI and MDM systems",S. T. Mak,"ACLARA Technologies of ESCO, Hazelwood, MO 63042",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,4,"Smart meters are coming down in price, capable to generate large amounts of information. Information generated by smart meters is useful to a utility if they are saved in a data collection system in a specific format. To render the data useful, the data from a smart meter, other important information has to be tagged to the data. Equally importance is the time element. The following items described what is meant by network parameters and time reference of a data point. a. Substation name and bus number b. Feeder number, phase serving the smart meter c. Circuit geography information d. Time synchronization of interval reading and duration Novel billing methods, demand response, distribution control, etc. and numerous applications and control algorithms can be derived from the metering data base management system. These also impose stringent requirements on the Advanced Metering Infrastructure from a data throughput stand-point, infrastructure control and system recovery.",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275280,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275280,Smart meters;advanced metering infrastructure;assets management;coincident demand;demand response;metering data base management;smart grid,Ambient intelligence;Asset management;Communication networks;Communication system control;Computer displays;Control systems;Load management;Medium voltage;Smart grids;Substations,power grids;power meters;power system management,AMI;MDM systems;advanced metering infrastructure;asset management;demand response;metering data base management;service reliability;smart grid;smart metering,,11,,,,,26-30 July 2009,,IEEE,IEEE Conferences
Small signal security quantification of highly loaded power systems,U. Kerin; E. Lerch; G. Bizjak,"Faculty of electrical engineering, University of Ljubljana, 1000 Ljubljana, Slovenia",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,5,In this paper a concept of quantifying small signal security of power systems is introduced. The concept includes employment of a security index identifying system oscillation modes of insufficient characteristics. If referred to a security constraint the index quantifies mode security and if applied in sensitivity study it gives mode security variation in respect to changes in the system. The concept is applied in a study case considering model of a large power system. For the purpose the well established simulator is used.,1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275907,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275907,mode damping;sensitivity;system oscillations;system security,Damping;Eigenvalues and eigenfunctions;Frequency;Parameter estimation;Power system interconnection;Power system modeling;Power system security;Power system simulation;Signal analysis;Stability,power system security,loaded power systems;security index identifying system oscillation modes;small signal security quantification,,3,8,,,,26-30 July 2009,,IEEE,IEEE Conferences
Facilitating NERC CIP compliance with secure unified remote IED access control,T. Jaffray; A. Hamdon; B. Tatera,"Electr. Eng. Technol., Devry Univ., Phoenix, AZ, USA",2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,5,"Recent regulatory requirements in the United States, and the growing complexity of transmission grids worldwide, have prompted the need for greater substation data communications security. Pacific Gas and Electric (PG&E) required a comprehensive security solution for providing and controlling access to intelligent electronic devices (IEDs) within its substations. Using a combination of commercial hardware and software, in conjunction with software developed by SUBNET Solutions Inc. (SUBNET), PG&E has begun a standardized rollout of the proposed solution to its critical transmission substations. This paper explores the challenges faced by PG&E and other utilities, and the subsequent development of a unified remote IED access control solution.",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275388,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275388,Power system maintenance;Power system planning;Power system security;Power transmission,Access control;Data security;Hardware;Power industry;Power system management;Power system planning;Power system reliability;Power system security;Protocols;Substations,intelligent control;power system planning;power system security;substation protection,NERC CIP compliance;power system maintenance;power system planning;power system security;power transmission;secure unified remote IED access control;substation data communications security,,0,1,,,,26-30 July 2009,,IEEE,IEEE Conferences
"Collaborative, trust-based security mechanisms for a regional utility intranet",G. Coates; K. Hopkinson; S. Graham; S. Kurkowski,Air Force Institute of Technology,2009 IEEE Power & Energy Society General Meeting,20091002,2009,,,1,1,"This article investigates network policies and mechanisms to enhance security in SCADA networks using a mix of TCP and UDP transport protocols over IP. It recommends creating a trust system that can be added in strategic locations to protect existing legacy architectures and to accommodate a transition to IP through the introduction of equipment based on modern standards such as IEC 61850. The trust system is based on a best-of-breed application of standard information technology (IT) network security mechanisms and IP protocols. The trust system provides seamless, automated command and control for the suppression of network attacks and other suspicious events. It also supplies access control, format validation, event analysis, alerting, blocking, and event logging at any network-level and can do so on behalf of any system that does not have the resources to perform these functions itself. Latency calculations are used to estimate limits of applicability within a company and between geographically separated company and area control centers, scalable to hierarchical regional implementations.",1932-5517;19325517,POD:978-1-4244-4241-6,10.1109/PES.2009.5275808,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5275808,,Access control;Access protocols;Collaboration;Command and control systems;IEC standards;Information security;Information technology;Protection;TCPIP;Transport protocols,IP networks;SCADA systems;intranets;telecommunication security;transport protocols,Intranet;SCADA networks;TCP;UDP;collaborative;hierarchical regional implementations;information technology network security mechanisms;regional utility;transport protocols over IP;trust based security mechanisms,,1,,,,,26-30 July 2009,,IEEE,IEEE Conferences
