Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Challenges, solutions and lessons learned for centralized model management at california ISO",V. Perumalla; B. Jacobsen; S. Zulkader,"California ISO, Folsom, CA 95630",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"The maintenance update cycle for power system reference models is a major business process for utility/RTO/ISO companies, requiring substantial manpower and technology. Discussed herein are the related objectives, strategies for new solutions implemented at California Independent System Operator (CAISO). The primary objective with these investments is to reduce the time needed to execute the end-to-end cycle of a network model change, from submittal of data to live models in production systems. The means to achieving this objective involves new technologies and realigning business processes. The cornerstone technology is a centralized model management system with flexibilities and automation for submitting, testing, and deploying new transmission system and generation project models. Within the centralized system and, equally importantly, the systems integration, a key concept is to explicitly model the time domain. Once establishing end-game systems architecture and integration strategies, implementing the transition from legacy systems is complicated by the high risk concern for the assured continuity of the core business processes that depend on the accuracy of the models.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274511,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274511,California Independent System Operator (CAISO);Common Information Model (CIM);Enterprise Model Management System (EMMS),Data models;Indexes;Production;Protocols;Reliability engineering;Tools,investment;power system management,CAISO;California Independent System Operator;ISO companies;RTO companies;business processes realigning;centralized model management system;centralized system;core business processes;cornerstone technology;end-game systems architecture;end-to-end cycle;generation project models;integration strategies;legacy systems;maintenance update cycle;network model change;power system reference models;production systems;related objectives;substantial manpower;systems integration;transmission system;utility companies,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
Probabilistic risk-based security assessment of power systems considering incumbent threats and uncertainties,E. Ciapessoni; D. Cirio; G. Kjâ_˜lle; S. Massucco; A. Pitto; M. Sforna,"Development of Energy Systems, Ricerca sul Sistema Energetico - RSE S.p.A.",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,1,"In-depth security analyses of power systems (PSs) require to consider the vulnerabilities to natural and human-related threats, which may cause multiple dependent contingencies. On the other hand, such events often lead to high impact on the system, so that decision-making aimed to enhance security may become difficult. Introducing the uncertainty, the risk associated to each contingency can be evaluated, thus allowing to perform effective contingency ranking. This paper describes an in-depth security assessment methodology, based on an â€œextendedâ€ù definition of risk (including threats, vulnerability, contingency, and impact) aimed to perform the risk assessment of the integrated power and Information and Communication Technology (ICT) systems. The results of the application to test cases and realistic PSs show the added value of the proposed approach with respect to conventional security analyses in dealing with uncertainty of threats, vulnerabilities, and system response.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274491,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274491,,Decision making;Information and communication technology;Power systems;Probabilistic logic;Risk management;Security;Uncertainty,decision making;power engineering computing;power system security;probability;risk management;security of data,Communication Technology systems;In-depth security analyses;contingency ranking;conventional security analyses;decision-making;human-related threats;in-depth security assessment methodology;incumbent threats;integrated power;multiple dependent contingencies;power systems;probabilistic risk-based security assessment;risk assessment;system response;vulnerability,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
False data injection attacks targeting DC model-based state estimation,G. Liang; S. R. Weller; J. Zhao; F. Luo; Z. Y. Dong,"Center for Intelligent Electricity Networks (CIEN), University of Newcastle, Callaghan, NSW, 2308, Australia",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"The false data injection attack (FDIA) is a form of cyber-attack capable of affecting the secure and economic operation of the smart grid. With DC model-based state estimation, this paper analyzes ways of constructing a successful attacking vector to fulfill specific targets, i.e., pre-specified state variable target and pre-specified meter target according to the adversary's willingness. The grid operator's historical reading experiences on meters are considered as a constraint for the adversary to avoid being detected. Also from the viewpoint of the adversary, we propose to take full advantage of the dual concept of the coefficients in the topology matrix to handle with the problem that the adversary has no access to some meters. Effectiveness of the proposed method is validated by numerical experiments on the IEEE-14 benchmark system.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8273918,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8273918,Cyber-attacks;false data injection attack;smart grid;state estimation,Manganese;Meters;Network topology;Q measurement;State estimation;Topology;Transmission line measurements,power engineering computing;power system security;power system state estimation;security of data;smart power grids;state estimation,DC model;adversary;attacking vector;economic operation;false data injection attack;grid operator;meters;pre-specified meter target;secure operation;smart grid;specific targets;state estimation;state variable target,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
Modernizing wide-area grid communications for distributed energy resource applications using MQTT publish-subscribe protocol,J. C. Hastings; D. M. Laverty,"EPIC Research Cluster, Queen's University Belfast, Northern Ireland",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"This paper introduces the MQTT publish-subscribe protocol as a suitable transport mechanism to support next generation Distributed Energy Resource (DER) applications. DER applications such as Automated Demand Response (ADR) systems will be integral to the stability of a future grid with increasing non-synchronous penetration. These systems require secure, extensible and low latency communications in order to operate. There are currently no such suitable protocols, thus MQTT is suggested as a suitable transport mechanism. The authors' testbed ADR heating platform is introduced as a suitable platform for further work in this area.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274486,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274486,DER Communication;MQTT;Publish-Subscribe;WAMPAC,Carbon;Indexes,demand side management;distributed power generation;middleware;power generation faults;power system security;power system stability;protocols;renewable energy sources;smart power grids,Automated Demand Response systems;DER applications;MQTT publish;extensible communications;generation Distributed Energy Resource applications;increasing nonsynchronous penetration;low latency communications;modernizing wide-area grid communications;secure communications;suitable transport mechanism,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
Dynamic load altering attacks against power system stability: Attack models and protection schemes,S. Amini; F. Pasqualetti; H. Mohsenian-Rad,"Electrical Engineering, University of California, Riverside",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,1,"Dynamic Load Altering Attacks (D-LAA) are introduced as a new class of cyber-physical attacks against smart grid demand response programs. The fundamental characteristics of D-LAAs are explained. Accordingly, D-LAAs are classified in terms of open-loop versus closed-loop attacks, single-point versus multi-point attacks, the type of feedback, and the type of attack controller. A specific closed-loop D-LAA against power system stability is formulated and analyzed, where the attacker controls the changes in the victim load based on a feedback from the power system frequency. A protection system is designed against D-LAAs by formulating and solving a non-convex pole-placement optimization problem. Uncertainty with respect to attack sensor location is addressed. Case studies are presented to assess system vulnerabilities, impacts of single-point and multi-point attacks, and optimal load protection in an IEEE 39 bus test system.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274329,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274329,,Frequency control;Load management;Load modeling;Optimization;Power system dynamics;Power system stability;Smart grids,concave programming;demand side management;power system protection;power system security;power system stability;security of data;smart power grids,cyber-physical attacks;dynamic load altering attacks;load protection;power system frequency;power system stability;smart grid demand response programs,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
Preventive defensive strategies for power systems under persistent malicious cyberattacks,C. Wang; Y. Hou,"Dept. Electronic and Electrical Engineering, The University of Hong Kong, Hong Kong, China",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"This paper focuses on preventive defensive strategies for power systems under persistent malicious cyberattacks (PMCs). Before a system is compromised by intruders, system reliability is reduced gradually under cyberattacks. For system operators, they should perform some strategies to guarantee a high system reliability level. In this paper, the probability of compromising the system is formulated as Markov chains. The probability of compromising the system is related with the duration of PMCs. Because the duration of PMCs cannot be known exactly by system operators, this paper assumes that the duration of PMCs satisfies a given discrete distribution. In addition, outputs of generator are adjusted within ramping rates to ensure a high reliability level. The potential loss of loads works as the evaluation index. The software GAMS is employed to solve this optimization model. A test system shows that the proposed model can provide effective strategies when systems are under PMCs.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274421,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274421,Markov chains;Persistent malicious cyberattacks;preventive defensive Strategies;ramping rates,Computer crime;Generators;Load modeling;Markov processes;Power system stability;Reliability;Topology,Markov processes;computer network security;optimisation;probability,Markov chains;PMCs;discrete distribution;high system reliability level;malicious cyberattacks;optimization model;power systems;preventive defensive strategies;software GAMS;system operators;test system,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
A recursive state estimation approach to mitigate false data injection attacks in power systems,J. G. Sreenath; A. Meghwani; S. Chakrabarti; K. Rajawat; S. C. Srivastava,"Department of Electrical Engineering, Indian Institue of Technology Kanpur, Kanpur, UP, India, 208016",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"Estimating the power system states is essential for monitoring, protection and control functions. Recent studies have shown that the traditional bad data detection techniques can be bypassed by an adversary. One such scenario is the false data injection attack, where the adversary can compromise the measurement devices, to create a false set of measurements, that cannot be detected by the conventional bad data detection algorithms. The power system loads normally follow a regular time pattern and their time history, can be, utilized to provide accurate information to the estimator. In this case, the historical data has been combined with the current measurement set recursively to generate more accurate estimates, which in turn, can detect the false data attack in power systems. IEEE 14-bus test system is used as the test case for the study. The proposed method has been tested for two attack scenarios, where an adversary compromises certain meters or where the current measurements is replaced using a previous measurement set.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274070,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274070,Cyber-security;false data injection;power systems;smart grids;state estimation,Current measurement;Measurement uncertainty;Power measurement;Power systems;State estimation;Voltage measurement,power system security;power system state estimation;state estimation,IEEE 14-bus test system;attack scenarios;bad data detection techniques;control functions;false data injection attack;historical data;measurement devices;monitoring functions;power system loads;power system state estimation;power systems;protection functions;recursive state estimation approach,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
A new performance index for evaluating community virtual power plant with domestic storage,O. Okpako; H. S. Rajamani; P. Pillai; U. Anuebunwa; K. S. Swarup,"Faculty of Engineering and Informatics, University of Bradford, UK",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"Energy storage is a key component of the smart grid as it can be used to provide both peak and off-peak services to the grid, frequency regulation service, smoothen peak and trough of renewable generation, etc. In such a system, prosumers with embedded battery energy storage can be aggregated into a local community virtual power plant (VPP). Whilst many papers have been presented showing how virtual power plants could operate, it has been difficult to evaluate and compare their performance with respect to the grid requirements. In this paper, we present a methodology for evaluating VPP performance, and propose a novel performance index called the â€œCumulative Performance Indexâ€ù CPI, that can be used to evaluate VPPs under various scenarios. The CPI is derived based on grid requirements and VPP operation. In this paper we demonstrate the use of CPI to evaluate the optimization of a VPP under a pricing scheme using different initial battery conditions. The results shows how best grid operation does not necessarily match best prosumer or VPP operator benefit.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8273850,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8273850,Battery;Cumulative Performance Index;Prosumer;Smart Grid;State of charge;Virtual Power Plant (VPP),Batteries;Discrete wavelet transforms;Performance analysis;Power generation;Smart grids;State of charge;Transportation,battery storage plants;distributed power generation;frequency control;renewable energy sources;smart power grids,Cumulative Performance Index;battery energy storage;domestic storage;frequency regulation;grid operation;renewable generation;smart grid;virtual power plant,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
Communication-assisted impedance-based microgrid protection scheme,M. E. Elkhatib; A. Ellis,"Sandia National Laboratories, Albuquerque, New Mexico 87185",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"Development of efficient non-overcurrent based protection schemes is a prerequisite for significantly increasing microgrids renewable energy penetration. In this paper a novel communication-assisted impedance-based protection scheme is proposed. For the sake of protection design, we partition microgrids into protection zones based on the availability of fault interruption devices. The proposed scheme depends on monitoring impedance trajectories at different feeder relays to detect the occurrence of faults and utilizes directional elements to determine the direction of faults. Communications between feeder relays are utilized to exchange permissive and blocking signals in order to locate the fault and trip the least part of the microgrid to clear the fault. Simulation results are presented to demonstrate the effectiveness of the proposed scheme.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8274206,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274206,,Fault currents;Impedance;Impedance measurement;Inverters;Microgrids;Relays;Robustness,distributed power generation;overcurrent protection;power generation faults;power generation protection;power generation reliability,communication-assisted impedance;directional elements;fault interruption devices;feeder relays;impedance trajectories;microgrid protection scheme;microgrids renewable energy penetration;nonovercurrent based protection schemes;partition microgrids;protection design;protection zones,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
Towards attack-resilient communications for smart grids with software-defined networking,Y. Wu; J. Wei,"The University of Akron, Akron, OH 44325, USA",2017 IEEE Power & Energy Society General Meeting,20180201,2017,,,1,5,"Distributed Energy Resources (DERs) are being increasingly accepted as an excellent complement to traditional energy sources in smart grids. As most of these generators are geographically dispersed, dedicated communications investments for every generator are capital cost prohibitive. Software Defined Networking (SDN) was developed to supervise, organize and schedule the tremendous amounts of data traffic in smart grids with high penetrations of DERs, which enhances the flexibility of network programming and the security of netowork. In this paper, we propose an attack-resilient SDN architecture that detects and mitigates the congestion attacks by exploiting the Quality of Experience (QoE) measures to complement the conventional Quality of Service (QoS) information to detect and mitigate the congestion attacks effectively. The simulation results illustrate the efficiency of our proposed communications SDN architecture.",,Electronic:978-1-5386-2212-4; POD:978-1-5386-2213-1; USB:978-1-5386-2211-7,10.1109/PESGM.2017.8273961,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8273961,,Computer architecture;Middleware;Monitoring;Power systems;Quality of experience;Quality of service;Routing,IP networks;computer network security;distributed power generation;power engineering computing;quality of service;smart power grids;software defined networking,DERs;QoE measure;QoS information;attack-resilient SDN architecture;attack-resilient communications;capital cost;communications SDN architecture;communications investments;congestion attacks;distributed energy resources;network programming;quality of experience;quality of service;smart grids;software defined networking;traditional energy sources,,,,,,,16-20 July 2017,,IEEE,IEEE Conferences
