Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Reference architecture for Self Healing distribution networks,T. Berry; Y. Chollot,"Schneider-Electric, France",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,This paper describes a reference architecture for a reusable and extendable solution for a Self Healing Grid (SHG) applied to looped distribution networks. This functionality is also known as automatic Fault Location Isolation and Supply Restoration (FLISR). The paper will report on the experience of testing and installing several such systems particularly on underground networks.,,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519927,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519927,Distribution Automation;Reliability;Self Healing;Supply Restoration,Circuit faults;Fault location;Network topology;Substations;Switches;Testing;Topology,fault location;power distribution reliability;power system restoration;underground distribution systems,SHG;automatic FLISR;automatic fault location isolation-supply restoration;looped distribution networks;reference architecture;self-healing distribution network;self-healing grid;system installation;system testing;underground networks,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Utilizing relay event reports to identify settings error and avoid relay misoperations,S. Das; S. Santoso,"Schweitzer Engineering Laboratories, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,"Event reports recorded by digital relays and other intelligent electronic devices provide a snapshot of the power system and contain a wealth of information. Analysis of event reports can uncover incorrect relay settings and help avoid relay misoperations. Momentary faults can be detected and repaired before they evolve into a system-wide blackout. Furthermore, system operators can use the knowledge gained from analysis of event reports to reconstruct the sequence of events, track down the location of a fault, gain insight into the root cause of the fault, and take action to prevent the same fault from occurring again. This paper analyzes a series of complex events collected from a distribution utility to emphasize the benefits of event report analysis in improving power system reliability.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519909,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519909,,Circuit faults;Digital relays;Fault currents;Fault location;Mathematical model;Timing,power system reliability;relay protection,digital relays;distribution utility;electronic devices;event report analysis;power system reliability;relay event reports;relay misoperations;relay settings;system operators;system-wide blackout,,1,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Challenges of implementing substation hardware upgrades for NERC CIP version 5 compliance to enhance cybersecurity,J. M. Cole,"Power Delivery Services, Sargent & Lundy LLC, Chattanooga, TN, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,"To minimize the vulnerability of the electric power grid to cyberattacks the North American Electric Reliability Corporation (NERC), under the jurisdiction of the Federal Energy Regulatory Commission (FERC), has enacted and enforced cybersecurity standards that continue to evolve as technology and the nature of these threats advance. These Critical Infrastructure Protection (CIP) standards issued by NERC require utilities to meet an aggressive timeline for regulatory compliance. To supplement in-house resources, utilities rely on consultants and suppliers to meet NERC's fast approaching deadlines, such as implementing the latest NERC CIP Version 5 (V5) standards. This paper discusses major design challenges faced when upgrading substation equipment for cybersecurity enhancements and, specifically, the hardware improvements implemented for the NERC CIP V5 conversions.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519964,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519964,Communication networks;Communication system security;IP networks;Power system protection;Substation protection,Access control;IP networks;Logic gates;Standards;Substations,computer network security;critical infrastructures;power engineering computing;substation automation,NERC CIP version 5 compliance;North American Electric Reliability Corporation;critical infrastructure protection;cyberattack vulnerability;cybersecurity enhancement;cybersecurity standards;electric power grid;substation equipment;substation hardware upgrades,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Distributed load shedding over directed communication networks with time delays,T. Yang; Di Wu,"Pacific Northwest National Laboratory, Richland, WA 99354, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,"When generation is insufficient to support all loads in a power system under emergencies, effective and efficient load shedding needs to be deployed in order to prevent system collapse. This paper presents a ratio consensus based distributed algorithm to discover the system overload after disturbance. In the proposed algorithm, the agent at each bus only communicates with its neighboring agents via directed communication links possibly with arbitrarily large but bounded time-varying communication delays. Simulation results are used to validate the proposed method.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519859,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519859,Directed graph;distributed algorithm;load shedding;multi-agent systems;ratio consensus;time-varying delays,Communication networks;Delay effects;Delays;Distributed algorithms;Graph theory;Indexes;Power systems,delays;directed graphs;distributed algorithms;load shedding;multi-agent systems;power engineering computing,directed communication links;directed communication networks;distributed load shedding;ratio consensus based distributed algorithm;system overload;time delays;time-varying communication delays,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Critical line identification for hypothesized multiple line attacks against power systems,Ming Wang; Yingmeng Xiang; Lingfeng Wang; D. Yu; Jie Jiang,"EECS Dept., University of Wisconsin-Milwaukee, WI, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,"Growing vandalism and terrorist activities pose great challenges to securing the modern power grid. As a practical high-impact, low-frequency threat, the attackers could simultaneously sabotage multiple critical transmission lines in a coordinated manner to initiate the cascading failure for causing great blackout. Thus, it is pressing to study the hypothesized multiple line attack strategies. In this study, the static strategy, dynamic strategy and space-pruning searching strategy are proposed for more effectively identifying the critical lines in the multiple line attack scenarios. And the optimal selection of critical lines in the multiple lines attack is determined based on the criticality of the lines, which is modeled by several mathematical indices developed from graph theory or based on enumeration. The effectiveness of the proposed attack strategies is tested using three bulk IEEE test systems. This study provides some meaningful insights about malicious attacks targeting the critical transmission lines.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7520087,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7520087,Cyber-physical security;cascading failure;line criticality;multiple line attack;space pruning,Generators;Indexes;Load flow;Power grids;Power system faults;Power system protection;Power transmission lines,power transmission protection;search problems,critical line identification;critical line selection;critical transmission lines;dynamic strategy;hypothesized multiple line attacks;malicious attacks;multiple line attack scenarios;power systems;space-pruning searching strategy;static strategy,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Perimeter substation physical security design options for compliance with NERC CIP 014-1,B. P. Kelley,"Power Delivery Services, Sargent & Lundy LLC, Chicago, IL, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,4,"The electric utility industry has adjusted their thinking of substation physical security as a result of recent attacks and the issuance by NERC of CIP-014-1. As a result there is a substantial investment in upgrading existing station security and providing enhanced security at new stations. With this new design approach, there are a significant number of options, considerations and products to evaluate during the design of a physical security system. This paper will highlight key considerations that should be addressed during the design and implementation of a system to comply with CIP 014-1.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519871,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519871,Physical;Security;Substation,Cameras;Grounding;Lighting;Logic gates;Metals;Security;Substations,power system security;substation protection,CIP-014-1;NERC;electric utility industry;perimeter substation physical security design,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Advanced metering infrastructure: Technology and challenges,A. K. Chakraborty; N. Sharma,"Department of Electrical Engineering, National Institute of Technology, Agartala, India",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,"Smart Grid has evolved as a recent topic of discussion and research in many parts of the world and thus the smart metering systems. The electrical supply industry is in the process of integration with bidirectional information and power flow infrastructure commonly called smart grid. In laymen's terms Smart grid is the integration of Information Technology and Electrical Grid. Advance metering infrastructure (AMI) is an important component of the smart grid in which data and signal are transferred from consumer smart meter to smart grid and vice versa. In this work, design of smart meter scheme, its hardware and software requirements, and its technologies has been discussed. This paper also focuses on the communication protocol developments as well as information security associate with smart meters. A detailed discussion on the financial and other technological issues related to smart meter has been presented in this paper and a few remedies have also been suggested.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7520076,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7520076,Advanced Metering Infrastructure (AMI);Smart Grid;Smart Meter,,electricity supply industry;metering;smart meters;smart power grids,AMI;advanced metering infrastructure;bidirectional information and power flow infrastructure;communication protocol;electrical supply industry;hardware requirements;information security;information technology and electrical grid integration;smart grid;smart meter scheme;smart metering system;software requirements,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Protecting the Communications Network at Layer 2,V. Umasuthan,"Product Manager Ruggedcom, Siemens Canada Limited, Concord, Canada",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,"With the ubiquitous use of Ethernet for data communication in substation environments, the need for a security policy at the Ethernet LAN and port level is as important as ever. Corporate networks have had Layer 2 security mitigations for a long time and it is imperative that the Electric Utility industry also monitor and mitigate for threats that arise inside a network. This paper discusses threats that can arise when networks are not protected at the Layer 2 level and some of the methods available to mitigate these threats.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519889,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519889,Access Control;Data communication;Ethernet networks;Security,Authentication;IP networks;Ports (Computers);Protocols;Servers;Standards,computer network security;data communication;intranets;local area networks,Ethernet LAN;Layer 2 security mitigation;communication network protection;corporate network;data communication;electric utility industry;port level;substation environment,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
A fog computing solution for advanced metering infrastructure,Y. Yan; W. Su,"Department of Electrical and Computer Engineering, University of Michigan-Dearborn, 4901 Evergreen Road, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,4,"With rapid increase in deployment of advanced metering infrastructure, the amount of the data collected increases dramatically. Incorporation of such voluminous data requires wide-ranging transformation of the existing metering infrastructure. However, as the number of smart meters increases to more than hundreds of thousands, it would become increasingly clear that the state-of-the-art centralized information processing architecture will no longer be sustainable under such big data explosion. In this short communication letter, we propose an implantable data storage-and-processing solution for improving the existing smart meter infrastructure. The practicality of the proposed solution is validated on a proof-of-concept testbed.",,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519890,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519890,Advanced Metering Infrastructure (AMI);Fog Computing;Smart Grid;Smart Meter;and Big Data,Big data;Cloud computing;Computer architecture;Memory;Monitoring;Smart grids;Smart meters,Big Data;computerised instrumentation;power engineering computing;smart meters,advanced metering infrastructure;big data explosion;centralized information processing architecture;fog computing solution;implantable data storage-and-processing solution;smart meters,,2,,,,,3-5 May 2016,,IEEE,IEEE Conferences
Cyber physical simulation and remote testing of Remedial Action Schemes,A. Mallikeswaran; T. Ashwarya; S. Niddodi; A. Srivastava; D. E. Bakken; P. Panciatici,"School of Electrical Engineering and Computer Science, Washington State University, Pullman, 99164, USA",2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),20160725,2016,,,1,5,Remedial Action Schemes (RAS) are emergency protection schemes that are designed to act in case of extreme contingency scenarios. RAS generally take strong control actions that may prevent major blackouts. No testing method has been implemented to test the operation of such an important scheme after RAS is commissioned in the field. Development of an in-field RAS testing method requires moving data between substation and test data facility within reasonable time as well as following set of standards. Erkios is a fault-tolerant middleware framework that provides a novel method to test RAS remotely after being commissioned in the field. This paper explains the development and integration of real time testbed with Erkios to facilitate cyber-physical simulation of end-to-end in-field testing of RAS. The standards and cyber physical requirements for developing such a testbed are analyzed and the simulation results are shown.,,Electronic:978-1-5090-2157-4; POD:978-1-5090-2158-1,10.1109/TDC.2016.7519984,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519984,,Computers;Power transmission lines;Real-time systems;Sensors;Standards;Substations;Testing,cyber-physical systems;fault tolerant computing;middleware;power engineering computing;power system protection;power system reliability,Erkios;RAS;cyber physical simulation;emergency protection schemes;extreme contingency scenarios;fault-tolerant middleware framework;remedial action schemes;remote testing,,,,,,,3-5 May 2016,,IEEE,IEEE Conferences
